"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,22.1,22.1,77.9,"Herisau AR","Herisau hat die Renteninitiative mit 77,9 Prozent abgelehnt. Herisau hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3002,45.7,45.7,54.3,"Hundwil AR","Nein zur Renteninitiative in Hundwil: Mit 54,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Hundwil hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3003,69.4,69.4,30.6,"Schönengrund AR","Die Gemeinde Schönengrund hat die Renteninitiative mit 69,4 Prozent angenommen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3004,71.8,71.8,28.2,"Schwellbrunn AR","Die Gemeinde Schwellbrunn hat die Renteninitiative mit 71,8 Prozent Ja-Stimmen angenommen. Schwellbrunn hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3005,36.3,36.3,63.7,"Stein AR","Nein zur Renteninitiative in Stein AR mit 63,7 Prozent Ablehnung. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3006,26.2,26.2,73.8,"Urnäsch AR","In Urnäsch hat die Renteninitiative keine Mehrheit gefunden. Auf 73,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Urnäsch hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3007,3.5,3.5,96.5,"Waldstatt AR","Keine Mehrheit für die Renteninitiative in Waldstatt: Mit 8'668 Nein-Stimmen zu 310 Ja-Stimmen oder 96,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Waldstatt hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden."
3021,35.1,35.1,64.9,"Bühler AR","Nein zur Renteninitiative in Bühler: Mit 64,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3022,44.1,44.1,55.9,"Gais AR","In Gais hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 55,9 Prozent verworfen. Gais hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3023,30.9,30.9,69.1,"Speicher AR","Nein zur Renteninitiative in Speicher: Mit 69,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Speicher hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3024,51,51,49,"Teufen AR","Die Gemeinde Teufen AR hat die Renteninitiative mit 51 Prozent angenommen. Teufen AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3025,4.8,4.8,95.2,"Trogen AR","In Trogen hat die Renteninitiative keine Mehrheit gefunden. Auf 95,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Trogen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3031,69.1,69.1,30.9,"Grub AR","Ja zur Renteninitiative in Grub AR. Die Gemeinde hat das Volksbegehren mit 69,1 Prozent der Stimmen angenommen. Grub AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3032,29.6,29.6,70.4,"Heiden AR","Nein zur Renteninitiative in Heiden: Mit 70,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Heiden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3033,78.1,78.1,21.9,"Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 78,1 Prozent angenommen. Lutzenberg hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3034,49.2,49.2,50.8,"Rehetobel AR","In Rehetobel hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 50,8 Prozent verworfen. Rehetobel hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3035,61.8,61.8,38.2,"Reute AR","Die Gemeinde Reute AR hat die Renteninitiative mit 61,8 Prozent angenommen. Reute AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3036,89.1,89.1,10.9,"Wald AR","89,1 Prozent der Abstimmenden in der Gemeinde Wald AR haben Ja gesagt zur Renteninitiative. Wald AR hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Ausserrhoden."
3037,69,69,31,"Walzenhausen AR","Die Gemeinde Walzenhausen hat die Renteninitiative mit 69 Prozent angenommen. Walzenhausen hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3038,29.2,29.2,70.8,"Wolfhalden AR","Nein zur Renteninitiative in Wolfhalden: Mit 70,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Wolfhalden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
