"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,64.1,64.1,35.9,"Aarberg BE","In Aarberg hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 64,1 Prozent angenommen. Aarberg hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
302,57.3,57.3,42.7,"Bargen BE","57,3 Prozent der Stimmbürgerinnen und Stimmbürger von Bargen BE haben die Initiative für eine 13. AHV-Rente angenommen. Bargen BE hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
303,8.8,8.8,91.2,"Grossaffoltern BE","Nein zu einer 13. AHV-Rente in Grossaffoltern. Die Gemeinde hat die Initiative mit 91,2 Prozent abgelehnt. Grossaffoltern hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
304,58,58,42,"Kallnach BE","58 Prozent der Abstimmenden in der Gemeinde Kallnach haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Kallnach hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
305,4.7,4.7,95.3,"Kappelen BE","Nein zur Initiative für eine 13. AHV-Rente in Kappelen: Mit 5'042 Nein- zu 248 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 95,3 Prozent. Kappelen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
306,48.1,48.1,51.9,"Lyss BE","In Lyss hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 51,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Lyss hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
307,75.3,75.3,24.7,"Meikirch BE","Ja zur Initiative für eine 13. AHV-Rente in Meikirch: Mit 75,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Meikirch hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
309,40.2,40.2,59.8,"Radelfingen BE","In Radelfingen hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 59,8 Prozent verworfen. Radelfingen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
310,64.2,64.2,35.8,"Rapperswil BE","Die Gemeinde Rapperswil BE hat die Initiative für eine 13. AHV-Rente mit 64,2 Prozent Ja-Stimmen angenommen. Rapperswil BE hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
311,67.8,67.8,32.2,"Schüpfen BE","Die Stimmbevölkerung von Schüpfen hat die Initiative für eine 13. AHV-Rente mit 67,8 Prozent angenommen. Schüpfen hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
312,31.4,31.4,68.6,"Seedorf BE","68,6 Prozent der Stimmbürgerinnen und Stimmbürger von Seedorf BE sagen Nein zur Initiative für eine 13. AHV-Rente. Seedorf BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
321,34.5,34.5,65.5,"Aarwangen BE","Aarwangen hat die Initiative für eine 13. AHV-Rente mit 65,5 Prozent abgelehnt. Aarwangen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
322,68.4,68.4,31.6,"Auswil BE","68,4 Prozent der Abstimmenden in der Gemeinde Auswil haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Auswil hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
323,59.1,59.1,40.9,"Bannwil BE","In Bannwil hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 59,1 Prozent angenommen. Bannwil hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
324,56.3,56.3,43.7,"Bleienbach BE","Ja zur Initiative für eine 13. AHV-Rente in Bleienbach: Mit 56,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Bleienbach hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
325,35.4,35.4,64.6,"Busswil bei Melchnau BE","Nein zur Initiative für eine 13. AHV-Rente in Busswil bei Melchnau: Mit 8'363 Nein- zu 4'588 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 64,6 Prozent. Busswil bei Melchnau hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
326,44,44,56,"Gondiswil BE","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Gondiswil: Mit 5'067 Nein-Stimmen zu 3'983 Ja-Stimmen oder 56 Prozent hat die Gemeinde das Volksbegehren verworfen. Gondiswil hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
329,55.6,55.6,44.4,"Langenthal BE","55,6 Prozent der Stimmbürgerinnen und Stimmbürger von Langenthal haben die Initiative für eine 13. AHV-Rente angenommen. Langenthal hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
331,35.8,35.8,64.2,"Lotzwil BE","64,2 Prozent der Stimmbürgerinnen und Stimmbürger von Lotzwil sagen Nein zur Initiative für eine 13. AHV-Rente. Lotzwil hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
332,49.5,49.5,50.5,"Madiswil BE","Nein zu einer 13. AHV-Rente in Madiswil. Die Gemeinde hat die Initiative mit 50,5 Prozent abgelehnt. Madiswil hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
333,95.7,95.7,4.3,"Melchnau BE","Ja zur Initiative für eine 13. AHV-Rente in Melchnau. Die Gemeinde hat das Volksbegehren mit 95,7 Prozent der Stimmen angenommen. Melchnau hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
335,73.7,73.7,26.3,"Oeschenbach BE","Ja zur Initiative für eine 13. AHV-Rente in Oeschenbach: Mit 73,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Oeschenbach hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
336,93.8,93.8,6.2,"Reisiswil BE","Die Stimmbevölkerung von Reisiswil hat die Initiative für eine 13. AHV-Rente mit 93,8 Prozent angenommen. Reisiswil hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
337,31.7,31.7,68.3,"Roggwil BE","Nein zur Initiative für eine 13. AHV-Rente in Roggwil BE: Mit 5'866 Nein- zu 2'724 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 68,3 Prozent. Roggwil BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
