"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
301,55.6,55.6,44.4,"Aarberg BE","In Aarberg hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 55,6 Prozent angenommen. Aarberg hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
302,0.4,0.4,99.6,"Bargen BE","Nein zur Renteninitiative in Bargen BE: Mit 99,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Bargen BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
303,51,51,49,"Grossaffoltern BE","Die Gemeinde Grossaffoltern hat die Renteninitiative mit 51 Prozent angenommen. Grossaffoltern hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
304,69.1,69.1,30.9,"Kallnach BE","69,1 Prozent der Abstimmenden in der Gemeinde Kallnach haben Ja gesagt zur Renteninitiative. Kallnach hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
305,15.5,15.5,84.5,"Kappelen BE","Nein zur Renteninitiative in Kappelen: Mit 84,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Kappelen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
306,17.2,17.2,82.8,"Lyss BE","In Lyss hat die Renteninitiative keine Mehrheit gefunden. Auf 82,8 Prozent der abgegebenen Stimmzettel stand ein Nein. Lyss hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
307,27.7,27.7,72.3,"Meikirch BE","72,3 Prozent der Stimmbürgerinnen und Stimmbürger von Meikirch sagen Nein zur Renteninitiative. Meikirch hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
309,58.3,58.3,41.7,"Radelfingen BE","In Radelfingen hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 58,3 Prozent angenommen. Radelfingen hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
310,74.3,74.3,25.7,"Rapperswil BE","Die Gemeinde Rapperswil BE hat die Renteninitiative mit 74,3 Prozent Ja-Stimmen angenommen. Rapperswil BE hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
311,13.3,13.3,86.7,"Schüpfen BE","Nein zur Renteninitiative in Schüpfen mit 86,7 Prozent Ablehnung. Schüpfen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
312,38.2,38.2,61.8,"Seedorf BE","61,8 Prozent der Stimmbürgerinnen und Stimmbürger von Seedorf BE sagen Nein zur Renteninitiative. Seedorf BE hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
321,8.8,8.8,91.2,"Aarwangen BE","Aarwangen hat die Renteninitiative mit 91,2 Prozent abgelehnt. Aarwangen hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
322,58.5,58.5,41.5,"Auswil BE","58,5 Prozent der Abstimmenden in der Gemeinde Auswil haben Ja gesagt zur Renteninitiative. Auswil hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
323,36.3,36.3,63.7,"Bannwil BE","In Bannwil hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 63,7 Prozent verworfen. Bannwil hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
324,60.4,60.4,39.6,"Bleienbach BE","Ja zur Renteninitiative in Bleienbach: Mit 60,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Bleienbach hat damit gleich wie der Kanton Bern Ja gesagt zu dieser Vorlage."
325,43.4,43.4,56.6,"Busswil bei Melchnau BE","Nein zur Renteninitiative in Busswil bei Melchnau: Mit 56,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Busswil bei Melchnau hat damit anders abgestimmt als der Kanton Bern, der die Vorlage angenommen hat."
