"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
301,53.6,53.6,46.4,"Aarberg (BE)","A Aarberg, les habitants sont favorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 53,6 pour cent des suffrages. Aarberg a approuvé l'initiative, tout comme son canton."
302,13.8,13.8,86.2,"Bargen (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Bargen (BE) avec 86,2 pour cent des suffrages. Bargen (BE) a rejeté l'initiative, contrairement à son canton."
303,41.8,41.8,58.2,"Grossaffoltern (BE)","A Grossaffoltern, les habitants disent non à 58,2 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Grossaffoltern a rejeté l'initiative, contrairement à son canton."
304,70.7,70.7,29.3,"Kallnach (BE)","C'est oui à 70,7 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Kallnach. Kallnach a approuvé l'initiative, tout comme son canton."
305,78.2,78.2,21.8,"Kappelen (BE)","Les électeurs de Kappelen valident l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 78,2 pour cent des voix. Kappelen a approuvé l'initiative, tout comme son canton."
306,58.1,58.1,41.9,"Lyss (BE)","Les habitants de Lyss acceptent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 58,1 pour cent de oui. Lyss a approuvé l'initiative, tout comme son canton."
307,74.9,74.9,25.1,"Meikirch (BE)","Les habitants de Meikirch approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 74,9 pour cent des voix. Meikirch a approuvé l'initiative, tout comme son canton."
309,34,34,66,"Radelfingen (BE)","A Radelfingen, les habitants sont défavorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 66 pour cent des voix. Radelfingen a rejeté l'initiative, contrairement à son canton."
310,55.2,55.2,44.8,"Rapperswil (BE)","Les habitants de Rapperswil (BE) acceptent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 55,2 pour cent de oui. Rapperswil (BE) a approuvé l'initiative, tout comme son canton."
311,44.4,44.4,55.6,"Schüpfen (BE)","A Schüpfen, les habitants disent non à 55,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Schüpfen a rejeté l'initiative, contrairement à son canton."
312,30.6,30.6,69.4,"Seedorf (BE)","Les habitants de Seedorf (BE) s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 69,4 pour cent de non. Seedorf (BE) a rejeté l'initiative, contrairement à son canton."
321,84.9,84.9,15.1,"Aarwangen (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à Aarwangen avec 84,9 pour cent de oui. Aarwangen a approuvé l'initiative, tout comme son canton."
322,45.7,45.7,54.3,"Auswil (BE)","C'est non à 54,3 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Auswil. Auswil a rejeté l'initiative, contrairement à son canton."
323,8.2,8.2,91.8,"Bannwil (BE)","A Bannwil, les habitants sont défavorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 91,8 pour cent des voix. Bannwil a rejeté l'initiative, contrairement à son canton."
324,45.1,45.1,54.9,"Bleienbach (BE)","Les habitants de Bleienbach s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 54,9 pour cent de non. Bleienbach a rejeté l'initiative, contrairement à son canton."
325,15.9,15.9,84.1,"Busswil bei Melchnau (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Busswil bei Melchnau avec 84,1 pour cent des suffrages. Busswil bei Melchnau a rejeté l'initiative, contrairement à son canton."
326,38.4,38.4,61.6,"Gondiswil (BE)","C'est non à 61,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Gondiswil. Gondiswil a rejeté l'initiative, contrairement à son canton."
329,46.7,46.7,53.3,"Langenthal (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Langenthal avec 53,3 pour cent des suffrages. Langenthal a rejeté l'initiative, contrairement à son canton."
331,30.2,30.2,69.8,"Lotzwil (BE)","Les habitants de Lotzwil s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 69,8 pour cent de non. Lotzwil a rejeté l'initiative, contrairement à son canton."
332,65.1,65.1,34.9,"Madiswil (BE)","A Madiswil, les habitants disent oui à 65,1 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Madiswil a approuvé l'initiative, tout comme son canton."
333,14.6,14.6,85.4,"Melchnau (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Melchnau avec 85,4 pour cent de non. Melchnau a rejeté l'initiative, contrairement à son canton."
335,61.2,61.2,38.8,"Oeschenbach (BE)","Les habitants d'Oeschenbach approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 61,2 pour cent des voix. Oeschenbach a approuvé l'initiative, tout comme son canton."
336,40.6,40.6,59.4,"Reisiswil (BE)","A Reisiswil, les habitants disent non à 59,4 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Reisiswil a rejeté l'initiative, contrairement à son canton."
337,44.6,44.6,55.4,"Roggwil (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Roggwil (BE) avec 55,4 pour cent des suffrages. Roggwil (BE) a rejeté l'initiative, contrairement à son canton."
338,63.1,63.1,36.9,"Rohrbach (BE)","Les habitants de Rohrbach approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 63,1 pour cent des voix. Rohrbach a approuvé l'initiative, tout comme son canton."
339,90.2,90.2,9.8,"Rohrbachgraben (BE)","A Rohrbachgraben, les habitants sont favorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 90,2 pour cent des suffrages. Rohrbachgraben a approuvé l'initiative, tout comme son canton."
340,47.5,47.5,52.5,"Rütschelen (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Rütschelen avec 52,5 pour cent des suffrages. Rütschelen a rejeté l'initiative, contrairement à son canton."
341,49.8,49.8,50.2,"Schwarzhäusern (BE)","Les habitants de Schwarzhäusern rejettent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 50,2 pour cent de non. Schwarzhäusern a rejeté l'initiative, contrairement à son canton."
342,61.4,61.4,38.6,"Thunstetten (BE)","Les habitants de Thunstetten approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 61,4 pour cent des voix. Thunstetten a approuvé l'initiative, tout comme son canton."
344,71.9,71.9,28.1,"Ursenbach (BE)","A Ursenbach, les habitants disent oui à 71,9 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Ursenbach a approuvé l'initiative, tout comme son canton."
345,7.6,7.6,92.4,"Wynau (BE)","C'est non à 92,4 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Wynau. Wynau a rejeté l'initiative, contrairement à son canton."
351,9.6,9.6,90.4,"Berne (BE)","A Berne, les habitants disent non à 90,4 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Berne a rejeté l'initiative, contrairement à son canton."
352,24.9,24.9,75.1,"Bolligen (BE)","Les habitants de Bolligen rejettent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 75,1 pour cent de non. Bolligen a rejeté l'initiative, contrairement à son canton."
353,13.9,13.9,86.1,"Bremgarten bei Bern (BE)","Les habitants de Bremgarten bei Bern s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 86,1 pour cent de non. Bremgarten bei Bern a rejeté l'initiative, contrairement à son canton."
354,33.1,33.1,66.9,"Kirchlindach (BE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Kirchlindach avec 66,9 pour cent de non. Kirchlindach a rejeté l'initiative, contrairement à son canton."
355,42.2,42.2,57.8,"Köniz (BE)","C'est non à 57,8 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Köniz. Köniz a rejeté l'initiative, contrairement à son canton."
