"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2008,80.3,80.3,19.7,"Châtillon FR","Ja zur Initiative für eine 13. AHV-Rente in Châtillon FR. Die Gemeinde hat das Volksbegehren mit 80,3 Prozent der Stimmen angenommen. Châtillon FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2011,25.2,25.2,74.8,"Cugy FR","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Cugy FR: Mit 4'460 Nein-Stimmen zu 1'500 Ja-Stimmen oder 74,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Cugy FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2016,88.4,88.4,11.6,"Fétigny FR","88,4 Prozent der Stimmbürgerinnen und Stimmbürger von Fétigny haben die Initiative für eine 13. AHV-Rente angenommen. Fétigny hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2022,58.4,58.4,41.6,"Gletterens FR","In Gletterens hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 58,4 Prozent angenommen. Gletterens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2025,89.4,89.4,10.6,"Lully FR","89,4 Prozent der Abstimmenden in der Gemeinde Lully FR haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Lully FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2027,1.1,1.1,98.9,"Ménières FR","Nein zur Initiative für eine 13. AHV-Rente in Ménières: Mit 7'925 Nein- zu 92 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 98,9 Prozent. Ménières hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2029,88.5,88.5,11.5,"Montagny FR","Die Gemeinde Montagny FR hat die Initiative für eine 13. AHV-Rente mit 88,5 Prozent Ja-Stimmen angenommen. Montagny FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2035,49.7,49.7,50.3,"Nuvilly FR","In Nuvilly hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 50,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Nuvilly hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2038,12.1,12.1,87.9,"Prévondavaux FR","In Prévondavaux hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 87,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Prévondavaux hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2041,72.9,72.9,27.1,"Saint-Aubin FR","Ja zur Initiative für eine 13. AHV-Rente in Saint-Aubin FR: Mit 72,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Saint-Aubin FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2043,95.1,95.1,4.9,"Sévaz FR","Ja zur Initiative für eine 13. AHV-Rente in Sévaz. Die Gemeinde hat das Volksbegehren mit 95,1 Prozent der Stimmen angenommen. Sévaz hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2044,55.2,55.2,44.8,"Surpierre FR","55,2 Prozent der Stimmbürgerinnen und Stimmbürger von Surpierre haben die Initiative für eine 13. AHV-Rente angenommen. Surpierre hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2045,47.5,47.5,52.5,"Vallon FR","52,5 Prozent der Stimmbürgerinnen und Stimmbürger von Vallon sagen Nein zur Initiative für eine 13. AHV-Rente. Vallon hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2050,34.6,34.6,65.4,"Les Montets FR","Nein zur Initiative für eine 13. AHV-Rente in Les Montets: Mit 8'033 Nein- zu 4'254 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 65,4 Prozent. Les Montets hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2051,47.9,47.9,52.1,"Delley-Portalban FR","In Delley-Portalban hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 52,1 Prozent verworfen. Delley-Portalban hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2053,10.8,10.8,89.2,"Belmont-Broye FR","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Belmont-Broye: Mit 3'384 Nein-Stimmen zu 411 Ja-Stimmen oder 89,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Belmont-Broye hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2054,10.7,10.7,89.3,"Estavayer FR","In Estavayer hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 89,3 Prozent verworfen. Estavayer hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2055,4.5,4.5,95.5,"Cheyres-Châbles FR","Nein zur Initiative für eine 13. AHV-Rente in Cheyres-Châbles: Mit 6'593 Nein- zu 308 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 95,5 Prozent. Cheyres-Châbles hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2061,42.8,42.8,57.2,"Auboranges FR","Nein zur Initiative für eine 13. AHV-Rente in Auboranges: Mit 9'882 Nein- zu 7'409 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 57,2 Prozent. Auboranges hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2063,22.7,22.7,77.3,"Billens-Hennens FR","In Billens-Hennens hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 77,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Billens-Hennens hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
