"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
2008,71,71,29,"Châtillon (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Châtillon (FR) avec 71 pour cent de oui. Châtillon (FR) a approuvé l'initiative, tout comme son canton."
2011,73.1,73.1,26.9,"Cugy (FR)","C'est oui à 73,1 pour cent à l'initiative pour le versement d'une 13e rente AVS à Cugy (FR). Cugy (FR) a approuvé l'initiative, tout comme son canton."
2016,73.9,73.9,26.1,"Fétigny (FR)","Les électeurs de Fétigny valident l'initiative pour le versement d'une 13e rente AVS avec 73,9 pour cent des voix. Fétigny a approuvé l'initiative, tout comme son canton."
2022,76.7,76.7,23.3,"Gletterens (FR)","A Gletterens, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 76,7 pour cent des suffrages. Gletterens a approuvé l'initiative, tout comme son canton."
2025,76,76,24,"Lully (FR)","C'est oui à 76 pour cent à l'initiative pour le versement d'une 13e rente AVS à Lully (FR). Lully (FR) a approuvé l'initiative, tout comme son canton."
2027,75.6,75.6,24.4,"Ménières (FR)","Les électeurs de Ménières valident l'initiative pour le versement d'une 13e rente AVS avec 75,6 pour cent des voix. Ménières a approuvé l'initiative, tout comme son canton."
2029,74.5,74.5,25.5,"Montagny (FR)","Les habitants de Montagny (FR) acceptent l'initiative pour le versement d'une 13e rente AVS avec 74,5 pour cent de oui. Montagny (FR) a approuvé l'initiative, tout comme son canton."
2035,78.8,78.8,21.2,"Nuvilly (FR)","Les habitants de Nuvilly acceptent l'initiative pour le versement d'une 13e rente AVS avec 78,8 pour cent de oui. Nuvilly a approuvé l'initiative, tout comme son canton."
2038,63.2,63.2,36.8,"Prévondavaux (FR)","L'initiative pour le versement d'une 13e rente AVS est acceptée à Prévondavaux. Les électeurs de cette petite commune sont 24 à dire oui, contre 14 à s'y opposer. Prévondavaux a approuvé l'initiative, tout comme son canton."
2041,74.8,74.8,25.2,"Saint-Aubin (FR)","Les habitants de Saint-Aubin (FR) approuvent l'initiative pour le versement d'une 13e rente AVS avec 74,8 pour cent des voix. Saint-Aubin (FR) a approuvé l'initiative, tout comme son canton."
2043,78.8,78.8,21.2,"Sévaz (FR)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Sévaz avec 78,8 pour cent de oui. Sévaz a approuvé l'initiative, tout comme son canton."
2044,79.1,79.1,20.9,"Surpierre (FR)","Les électeurs de Surpierre valident l'initiative pour le versement d'une 13e rente AVS avec 79,1 pour cent des voix. Surpierre a approuvé l'initiative, tout comme son canton."
2045,74.9,74.9,25.1,"Vallon (FR)","Les habitants de Vallon approuvent l'initiative pour le versement d'une 13e rente AVS avec 74,9 pour cent des voix. Vallon a approuvé l'initiative, tout comme son canton."
2050,73.2,73.2,26.8,"Les Montets (FR)","Les électeurs des Montets valident l'initiative pour le versement d'une 13e rente AVS avec 73,2 pour cent des voix. Les Montets a approuvé l'initiative, tout comme son canton."
2051,79.4,79.4,20.6,"Delley-Portalban (FR)","A Delley-Portalban, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 79,4 pour cent des suffrages. Delley-Portalban a approuvé l'initiative, tout comme son canton."
2053,80.6,80.6,19.4,"Belmont-Broye (FR)","C'est oui à 80,6 pour cent à l'initiative pour le versement d'une 13e rente AVS à Belmont-Broye. Belmont-Broye a approuvé l'initiative, tout comme son canton."
2054,79.5,79.5,20.5,"Estavayer (FR)","A Estavayer, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 79,5 pour cent des suffrages. Estavayer a approuvé l'initiative, tout comme son canton."
