"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
2008,99.7,99.7,0.3,"Châtillon FR","Ja zur Renteninitiative in Châtillon FR. Die Gemeinde hat das Volksbegehren mit 99,7 Prozent der Stimmen angenommen. Châtillon FR hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Freiburg."
2011,42.4,42.4,57.6,"Cugy FR","Keine Mehrheit für die Renteninitiative in Cugy FR: Mit 9'607 Nein-Stimmen zu 7'076 Ja-Stimmen oder 57,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Cugy FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2016,45.9,45.9,54.1,"Fétigny FR","Nein zur Renteninitiative in Fétigny: Mit 54,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Fétigny hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2022,45.4,45.4,54.6,"Gletterens FR","In Gletterens hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 54,6 Prozent verworfen. Gletterens hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2025,42.6,42.6,57.4,"Lully FR","Keine Mehrheit für die Renteninitiative in Lully FR: Mit 3'011 Nein-Stimmen zu 2'232 Ja-Stimmen oder 57,4 Prozent hat die Gemeinde das Volksbegehren verworfen. Lully FR hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2027,96.6,96.6,3.4,"Ménières FR","96,6 Prozent der Stimmbürgerinnen und Stimmbürger von Ménières haben die Renteninitiative angenommen. Ménières hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2029,89.6,89.6,10.4,"Montagny FR","Die Gemeinde Montagny FR hat die Renteninitiative mit 89,6 Prozent Ja-Stimmen angenommen. Montagny FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2035,60,60,40,"Nuvilly FR","Die Gemeinde Nuvilly hat die Renteninitiative mit 60 Prozent Ja-Stimmen angenommen. Nuvilly hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2038,37.4,37.4,62.6,"Prévondavaux FR","In Prévondavaux hat die Renteninitiative keine Mehrheit gefunden. Auf 62,6 Prozent der abgegebenen Stimmzettel stand ein Nein. Prévondavaux hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2041,51.2,51.2,48.8,"Saint-Aubin FR","Ja zur Renteninitiative in Saint-Aubin FR: Mit 51,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Saint-Aubin FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2043,57.2,57.2,42.8,"Sévaz FR","Ja zur Renteninitiative in Sévaz. Die Gemeinde hat das Volksbegehren mit 57,2 Prozent der Stimmen angenommen. Sévaz hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2044,40.3,40.3,59.7,"Surpierre FR","Nein zur Renteninitiative in Surpierre: Mit 59,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Surpierre hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2045,7.6,7.6,92.4,"Vallon FR","92,4 Prozent der Stimmbürgerinnen und Stimmbürger von Vallon sagen Nein zur Renteninitiative. Vallon hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2050,43.9,43.9,56.1,"Les Montets FR","Nein zur Renteninitiative in Les Montets: Mit 56,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Les Montets hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2051,60.6,60.6,39.4,"Delley-Portalban FR","In Delley-Portalban hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 60,6 Prozent angenommen. Delley-Portalban hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2053,38.1,38.1,61.9,"Belmont-Broye FR","Keine Mehrheit für die Renteninitiative in Belmont-Broye: Mit 8'753 Nein-Stimmen zu 5'383 Ja-Stimmen oder 61,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Belmont-Broye hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2054,42.7,42.7,57.3,"Estavayer FR","In Estavayer hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 57,3 Prozent verworfen. Estavayer hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2055,49.6,49.6,50.4,"Cheyres-Châbles FR","Nein zur Renteninitiative in Cheyres-Châbles: Mit 50,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Cheyres-Châbles hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2061,38.2,38.2,61.8,"Auboranges FR","Nein zur Renteninitiative in Auboranges: Mit 61,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Auboranges hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2063,75.8,75.8,24.2,"Billens-Hennens FR","Die Gemeinde Billens-Hennens hat die Renteninitiative mit 75,8 Prozent Ja-Stimmen angenommen. Billens-Hennens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2066,58.8,58.8,41.2,"Chapelle (Glâne) FR","58,8 Prozent der Abstimmenden in der Gemeinde Chapelle (Glâne) haben Ja gesagt zur Renteninitiative. Chapelle (Glâne) hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2067,79,79,21,"Le Châtelard FR","Ja zur Renteninitiative in Le Châtelard. Die Gemeinde hat das Volksbegehren mit 79 Prozent der Stimmen angenommen. Le Châtelard hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2068,70.8,70.8,29.2,"Châtonnaye FR","70,8 Prozent der Stimmbürgerinnen und Stimmbürger von Châtonnaye haben die Renteninitiative angenommen. Châtonnaye hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2072,66.8,66.8,33.2,"Ecublens FR","66,8 Prozent der Abstimmenden in der Gemeinde Ecublens FR haben Ja gesagt zur Renteninitiative. Ecublens FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2079,50.8,50.8,49.2,"Grangettes FR","50,8 Prozent der Abstimmenden in der Gemeinde Grangettes haben Ja gesagt zur Renteninitiative. Grangettes hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2086,72.2,72.2,27.8,"Massonnens FR","72,2 Prozent der Abstimmenden in der Gemeinde Massonnens haben Ja gesagt zur Renteninitiative. Massonnens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2087,52.3,52.3,47.7,"Mézières FR","52,3 Prozent der Stimmbürgerinnen und Stimmbürger von Mézières FR haben die Renteninitiative angenommen. Mézières FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2089,35.2,35.2,64.8,"Montet (Glâne) FR","Nein zur Renteninitiative in Montet (Glâne): Mit 64,8 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Montet (Glâne) hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2096,97,97,3,"Romont FR","Die Gemeinde Romont FR hat die Renteninitiative mit 97 Prozent angenommen. Romont FR hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2097,10.2,10.2,89.8,"Rue FR","Keine Mehrheit für die Renteninitiative in Rue: Mit 7'029 Nein-Stimmen zu 799 Ja-Stimmen oder 89,8 Prozent hat die Gemeinde das Volksbegehren verworfen. Rue hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2099,42.7,42.7,57.3,"Siviriez FR","Siviriez hat die Renteninitiative mit 57,3 Prozent abgelehnt. Siviriez hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2102,39.9,39.9,60.1,"Ursy FR","In Ursy hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 60,1 Prozent verworfen. Ursy hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2113,51.1,51.1,48.9,"Vuisternens-devant-Romont FR","51,1 Prozent der Abstimmenden in der Gemeinde Vuisternens-devant-Romont haben Ja gesagt zur Renteninitiative. Vuisternens-devant-Romont hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2114,59.1,59.1,40.9,"Villorsonnens FR","59,1 Prozent der Abstimmenden in der Gemeinde Villorsonnens haben Ja gesagt zur Renteninitiative. Villorsonnens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2115,95.6,95.6,4.4,"Torny FR","In Torny hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 95,6 Prozent angenommen. Torny hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2117,96.5,96.5,3.5,"Villaz FR","96,5 Prozent der Abstimmenden in der Gemeinde Villaz haben Ja gesagt zur Renteninitiative. Villaz hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2121,54.3,54.3,45.7,"Haut-Intyamon FR","Die Gemeinde Haut-Intyamon hat die Renteninitiative mit 54,3 Prozent Ja-Stimmen angenommen. Haut-Intyamon hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2122,45.8,45.8,54.2,"Pont-en-Ogoz FR","54,2 Prozent der Stimmbürgerinnen und Stimmbürger von Pont-en-Ogoz sagen Nein zur Renteninitiative. Pont-en-Ogoz hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
2123,59.9,59.9,40.1,"Botterens FR","Die Gemeinde Botterens hat die Renteninitiative mit 59,9 Prozent Ja-Stimmen angenommen. Botterens hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2124,70.5,70.5,29.5,"Broc FR","Ja zur Renteninitiative in Broc: Mit 70,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Broc hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2125,50.7,50.7,49.3,"Bulle FR","50,7 Prozent der Abstimmenden in der Gemeinde Bulle haben Ja gesagt zur Renteninitiative. Bulle hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2128,2,2,98,"Châtel-sur-Montsalvens FR","Nein zur Renteninitiative in Châtel-sur-Montsalvens: Mit 98 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Châtel-sur-Montsalvens hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Freiburg."
2129,55.4,55.4,44.6,"Corbières FR","Ja zur Renteninitiative in Corbières. Die Gemeinde hat das Volksbegehren mit 55,4 Prozent der Stimmen angenommen. Corbières hat damit anders abgestimmt als der Kanton Freiburg, der die Vorlage abgelehnt hat."
2130,27.3,27.3,72.7,"Crésuz FR","72,7 Prozent der Stimmbürgerinnen und Stimmbürger von Crésuz sagen Nein zur Renteninitiative. Crésuz hat damit gleich wie der Kanton Freiburg Nein gesagt zu dieser Vorlage."
