"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
2008,72.1,72.1,27.9,"Châtillon FR","NA NA"
2011,72.3,72.3,27.7,"Cugy FR","NA NA"
2016,9,9,91,"Fétigny FR","NA NA"
2022,50.8,50.8,49.2,"Gletterens FR","NA NA"
2025,56.6,56.6,43.4,"Lully FR","NA NA"
2027,14.8,14.8,85.2,"Ménières FR","NA NA"
2029,46.1,46.1,53.9,"Montagny FR","NA NA"
2035,17.3,17.3,82.7,"Nuvilly FR","NA NA"
2038,67.5,67.5,32.5,"Prévondavaux FR","NA NA"
2041,38.2,38.2,61.8,"Saint-Aubin FR","NA NA"
2043,57.1,57.1,42.9,"Sévaz FR","NA NA"
2044,48.5,48.5,51.5,"Surpierre FR","NA NA"
2045,79.6,79.6,20.4,"Vallon FR","NA NA"
2050,55.3,55.3,44.7,"Les Montets FR","NA NA"
2051,41.7,41.7,58.3,"Delley-Portalban FR","NA NA"
2053,44.3,44.3,55.7,"Belmont-Broye FR","NA NA"
2054,29.2,29.2,70.8,"Estavayer FR","NA NA"
2055,5.6,5.6,94.4,"Cheyres-Châbles FR","NA NA"
2061,79.2,79.2,20.8,"Auboranges FR","NA NA"
2063,5.2,5.2,94.8,"Billens-Hennens FR","NA NA"
2066,13.6,13.6,86.4,"Chapelle (Glâne) FR","NA NA"
2067,42.2,42.2,57.8,"Le Châtelard FR","NA NA"
2068,95,95,5,"Châtonnaye FR","NA NA"
2072,37.8,37.8,62.2,"Ecublens FR","NA NA"
2079,89.1,89.1,10.9,"Grangettes FR","NA NA"
2086,35,35,65,"Massonnens FR","NA NA"
2087,50.8,50.8,49.2,"Mézières FR","NA NA"
2089,39.8,39.8,60.2,"Montet (Glâne) FR","NA NA"
2096,42,42,58,"Romont FR","NA NA"
2097,67.8,67.8,32.2,"Rue FR","NA NA"
2099,27.6,27.6,72.4,"Siviriez FR","NA NA"
2102,44.4,44.4,55.6,"Ursy FR","NA NA"
2113,68.4,68.4,31.6,"Vuisternens-devant-Romont FR","NA NA"
2114,46.1,46.1,53.9,"Villorsonnens FR","NA NA"
2115,95.5,95.5,4.5,"Torny FR","NA NA"
2117,71,71,29,"Villaz FR","NA NA"
2121,55.9,55.9,44.1,"Haut-Intyamon FR","NA NA"
2122,4.2,4.2,95.8,"Pont-en-Ogoz FR","NA NA"
2123,53.8,53.8,46.2,"Botterens FR","NA NA"
2124,71.3,71.3,28.7,"Broc FR","NA NA"
2125,61.6,61.6,38.4,"Bulle FR","NA NA"
2128,63.6,63.6,36.4,"Châtel-sur-Montsalvens FR","NA NA"
2129,90.1,90.1,9.9,"Corbières FR","NA NA"
2130,69.6,69.6,30.4,"Crésuz FR","NA NA"
2131,52.5,52.5,47.5,"Echarlens FR","NA NA"
2134,33,33,67,"Grandvillard FR","NA NA"
2135,70.2,70.2,29.8,"Greyerz FR","NA NA"
2137,99.5,99.5,0.5,"Hauteville FR","NA NA"
2138,37.3,37.3,62.7,"Jaun FR","NA NA"
2140,52.8,52.8,47.2,"Marsens FR","NA NA"
2143,51,51,49,"Morlon FR","NA NA"
2145,42.8,42.8,57.2,"Le Pâquier FR","NA NA"
2147,34.7,34.7,65.3,"Pont-la-Ville FR","NA NA"
2148,75.2,75.2,24.8,"Riaz FR","NA NA"
2149,19.6,19.6,80.4,"La Roche FR","NA NA"
2152,62,62,38,"Sâles FR","NA NA"
2153,42.8,42.8,57.2,"Sorens FR","NA NA"
2155,34.6,34.6,65.4,"Vaulruz FR","NA NA"
2160,83.8,83.8,16.2,"Vuadens FR","NA NA"
2162,51.6,51.6,48.4,"Bas-Intyamon FR","NA NA"
