"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,45.4,45.4,54.6,"Aire-la-Ville GE","NA NA"
6602,62,62,38,"Anières GE","NA NA"
6603,76,76,24,"Avully GE","NA NA"
6604,50,50,50,"Avusy GE","NA NA"
6605,38.4,38.4,61.6,"Bardonnex GE","NA NA"
6606,43.4,43.4,56.6,"Bellevue GE","NA NA"
6607,41.8,41.8,58.2,"Bernex GE","NA NA"
6608,46.5,46.5,53.5,"Carouge GE","NA NA"
6609,39.4,39.4,60.6,"Cartigny GE","NA NA"
6610,39.9,39.9,60.1,"Céligny GE","NA NA"
6611,28.1,28.1,71.9,"Chancy GE","NA NA"
6612,45.3,45.3,54.7,"Chêne-Bougeries GE","NA NA"
6613,32,32,68,"Chêne-Bourg GE","NA NA"
6614,5.4,5.4,94.6,"Choulex GE","NA NA"
6615,66.2,66.2,33.8,"Collex-Bossy GE","NA NA"
6616,45.5,45.5,54.5,"Collonge-Bellerive GE","NA NA"
6617,77.8,77.8,22.2,"Cologny GE","NA NA"
6618,65.6,65.6,34.4,"Confignon GE","NA NA"
6619,19.7,19.7,80.3,"Corsier GE","NA NA"
6620,73.4,73.4,26.6,"Dardagny GE","NA NA"
6621,39,39,61,"Ginevra GE","NA NA"
6622,79.2,79.2,20.8,"Genthod GE","NA NA"
6623,73.9,73.9,26.1,"Le Grand-Saconnex GE","NA NA"
6624,62.2,62.2,37.8,"Gy GE","NA NA"
6625,46.3,46.3,53.7,"Hermance GE","NA NA"
6626,68.9,68.9,31.1,"Jussy GE","NA NA"
6627,11.8,11.8,88.2,"Laconnex GE","NA NA"
6628,58.4,58.4,41.6,"Lancy GE","NA NA"
6629,44.8,44.8,55.2,"Meinier GE","NA NA"
6630,8.9,8.9,91.1,"Meyrin GE","NA NA"
6631,56.1,56.1,43.9,"Onex GE","NA NA"
6632,99.5,99.5,0.5,"Perly-Certoux GE","NA NA"
6633,52.5,52.5,47.5,"Plan-les-Ouates GE","NA NA"
6634,14.6,14.6,85.4,"Pregny-Chambésy GE","NA NA"
6635,66.3,66.3,33.7,"PresinGE","NA NA"
6636,32.5,32.5,67.5,"PuplinGE","NA NA"
6637,38.2,38.2,61.8,"Russin GE","NA NA"
6638,12.5,12.5,87.5,"Satigny GE","NA NA"
6639,74.6,74.6,25.4,"Soral GE","NA NA"
6640,41.6,41.6,58.4,"Thônex GE","NA NA"
6641,88.2,88.2,11.8,"Troinex GE","NA NA"
6642,38.5,38.5,61.5,"Vandoeuvres GE","NA NA"
6643,77,77,23,"Vernier GE","NA NA"
6644,45.5,45.5,54.5,"Versoix GE","NA NA"
6645,46.3,46.3,53.7,"Veyrier GE","NA NA"
