"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,87.2,87.2,12.8,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 87,2 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Aire-la-Ville a approuvé le texte, contrairement à son canton."
6602,36.2,36.2,63.8,"Anières (GE)","Les habitants d'Anières rejettent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 63,8 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Anières a rejeté le texte, tout comme son canton."
6603,79.2,79.2,20.8,"Avully (GE)","Les habitants d'Avully approuvent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 79,2 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Avully a approuvé le texte, contrairement à son canton."
6604,51.1,51.1,48.9,"Avusy (GE)","A Avusy, les habitants disent oui à 51,1 pour cent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV). Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Avusy a approuvé le texte, contrairement à son canton."
6605,38.5,38.5,61.5,"Bardonnex (GE)","Les habitants de Bardonnex s'opposent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) à 61,5 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Bardonnex a rejeté le texte, tout comme son canton."
6606,58,58,42,"Bellevue (GE)","Les habitants de Bellevue approuvent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 58 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Bellevue a approuvé le texte, contrairement à son canton."
6607,41.1,41.1,58.9,"Bernex (GE)","Les habitants de Bernex s'opposent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) à 58,9 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Bernex a rejeté le texte, tout comme son canton."
6608,83.5,83.5,16.5,"Carouge (GE)","Les habitants de Carouge (GE) acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 83,5 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Carouge (GE) a approuvé le texte, contrairement à son canton."
6609,51.2,51.2,48.8,"Cartigny (GE)","A Cartigny, les habitants disent oui à 51,2 pour cent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV). Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Cartigny a approuvé le texte, contrairement à son canton."
6610,58.8,58.8,41.2,"Céligny (GE)","Les habitants de Céligny acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 58,8 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Céligny a approuvé le texte, contrairement à son canton."
6611,40,40,60,"Chancy (GE)","Les habitants de Chancy rejettent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 60 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Chancy a rejeté le texte, tout comme son canton."
6612,48.8,48.8,51.2,"Chêne-Bougeries (GE)","Les habitants de Chêne-Bougeries rejettent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 51,2 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Chêne-Bougeries a rejeté le texte, tout comme son canton."
6613,97.4,97.4,2.6,"Chêne-Bourg (GE)","Les habitants de Chêne-Bourg acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 97,4 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Chêne-Bourg a approuvé le texte, contrairement à son canton."
6614,28.2,28.2,71.8,"Choulex (GE)","A Choulex, les habitants disent non à 71,8 pour cent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV). Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Choulex a rejeté le texte, tout comme son canton."
6615,52.6,52.6,47.4,"Collex-Bossy (GE)","A Collex-Bossy, les habitants disent oui à 52,6 pour cent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV). Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Collex-Bossy a approuvé le texte, contrairement à son canton."
6616,84.1,84.1,15.9,"Collonge-Bellerive (GE)","Les habitants de Collonge-Bellerive acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 84,1 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Collonge-Bellerive a approuvé le texte, contrairement à son canton."
6617,41.2,41.2,58.8,"Cologny (GE)","A Cologny, les habitants disent non à 58,8 pour cent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV). Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Cologny a rejeté le texte, tout comme son canton."
6618,6.8,6.8,93.2,"Confignon (GE)","Les habitants de Confignon s'opposent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) à 93,2 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Confignon a rejeté le texte, tout comme son canton."
6619,36.9,36.9,63.1,"Corsier (GE)","Les habitants de Corsier (GE) s'opposent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) à 63,1 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Corsier (GE) a rejeté le texte, tout comme son canton."
6620,56.2,56.2,43.8,"Dardagny (GE)","Les habitants de Dardagny approuvent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 56,2 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Dardagny a approuvé le texte, contrairement à son canton."
6621,57.7,57.7,42.3,"Genève (GE)","Les habitants de Genève acceptent les modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) avec 57,7 pour cent de oui. Ils souhaitent augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Genève a approuvé le texte, contrairement à son canton."
6622,15.3,15.3,84.7,"Genthod (GE)","Les habitants de Genthod s'opposent aux modalités pour la PPE dans le quartier Praille-Acacias-Vernets (PAV) à 84,7 pour cent de non. Ils refusent d'augmenter la part minimale de PPE à 24% tout en la fixant en pleine propriété. Genthod a rejeté le texte, tout comme son canton."
