"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,87.2,87.2,12.8,"Aire-la-Ville GE","NA NA"
6602,36.2,36.2,63.8,"Anières GE","NA NA"
6603,79.2,79.2,20.8,"Avully GE","NA NA"
6604,51.1,51.1,48.9,"Avusy GE","NA NA"
6605,38.5,38.5,61.5,"Bardonnex GE","NA NA"
6606,58,58,42,"Bellevue GE","NA NA"
6607,41.1,41.1,58.9,"Bernex GE","NA NA"
6608,83.5,83.5,16.5,"Carouge GE","NA NA"
6609,51.2,51.2,48.8,"Cartigny GE","NA NA"
6610,58.8,58.8,41.2,"Céligny GE","NA NA"
6611,40,40,60,"Chancy GE","NA NA"
6612,48.8,48.8,51.2,"Chêne-Bougeries GE","NA NA"
6613,97.4,97.4,2.6,"Chêne-Bourg GE","NA NA"
6614,28.2,28.2,71.8,"Choulex GE","NA NA"
6615,52.6,52.6,47.4,"Collex-Bossy GE","NA NA"
6616,84.1,84.1,15.9,"Collonge-Bellerive GE","NA NA"
6617,41.2,41.2,58.8,"Cologny GE","NA NA"
6618,6.8,6.8,93.2,"Confignon GE","NA NA"
6619,36.9,36.9,63.1,"Corsier GE","NA NA"
6620,56.2,56.2,43.8,"Dardagny GE","NA NA"
6621,57.7,57.7,42.3,"Ginevra GE","NA NA"
6622,15.3,15.3,84.7,"Genthod GE","NA NA"
6623,99.6,99.6,0.4,"Le Grand-Saconnex GE","NA NA"
6624,91.8,91.8,8.2,"Gy GE","NA NA"
6625,74.2,74.2,25.8,"Hermance GE","NA NA"
6626,59.7,59.7,40.3,"Jussy GE","NA NA"
6627,68.2,68.2,31.8,"Laconnex GE","NA NA"
6628,50.2,50.2,49.8,"Lancy GE","NA NA"
6629,87.9,87.9,12.1,"Meinier GE","NA NA"
6630,62.9,62.9,37.1,"Meyrin GE","NA NA"
6631,5,5,95,"Onex GE","NA NA"
6632,76.4,76.4,23.6,"Perly-Certoux GE","NA NA"
6633,48.9,48.9,51.1,"Plan-les-Ouates GE","NA NA"
6634,26.8,26.8,73.2,"Pregny-Chambésy GE","NA NA"
6635,17.7,17.7,82.3,"PresinGE","NA NA"
6636,12.9,12.9,87.1,"PuplinGE","NA NA"
6637,6.9,6.9,93.1,"Russin GE","NA NA"
6638,68.5,68.5,31.5,"Satigny GE","NA NA"
6639,58.9,58.9,41.1,"Soral GE","NA NA"
6640,30.8,30.8,69.2,"Thônex GE","NA NA"
6641,85.7,85.7,14.3,"Troinex GE","NA NA"
6642,20.4,20.4,79.6,"Vandoeuvres GE","NA NA"
6643,66.8,66.8,33.2,"Vernier GE","NA NA"
6644,2.8,2.8,97.2,"Versoix GE","NA NA"
6645,15,15,85,"Veyrier GE","NA NA"
