"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6601,52.2,52.2,47.8,"Aire-la-Ville GE","NA NA"
6602,56.9,56.9,43.1,"Anières GE","NA NA"
6603,55,55,45,"Avully GE","NA NA"
6604,28.1,28.1,71.9,"Avusy GE","NA NA"
6605,42.3,42.3,57.7,"Bardonnex GE","NA NA"
6606,70.3,70.3,29.7,"Bellevue GE","NA NA"
6607,77.2,77.2,22.8,"Bernex GE","NA NA"
6608,23.9,23.9,76.1,"Carouge GE","NA NA"
6609,39.9,39.9,60.1,"Cartigny GE","NA NA"
6610,18.3,18.3,81.7,"Céligny GE","NA NA"
6611,56.9,56.9,43.1,"Chancy GE","NA NA"
6612,62.2,62.2,37.8,"Chêne-Bougeries GE","NA NA"
6613,70.7,70.7,29.3,"Chêne-Bourg GE","NA NA"
6614,44.2,44.2,55.8,"Choulex GE","NA NA"
6615,68.3,68.3,31.7,"Collex-Bossy GE","NA NA"
6616,66.3,66.3,33.7,"Collonge-Bellerive GE","NA NA"
6617,86.4,86.4,13.6,"Cologny GE","NA NA"
6618,92.3,92.3,7.7,"Confignon GE","NA NA"
6619,11.1,11.1,88.9,"Corsier GE","NA NA"
6620,59,59,41,"Dardagny GE","NA NA"
6621,74.7,74.7,25.3,"Genf GE","NA NA"
6622,9.5,9.5,90.5,"Genthod GE","NA NA"
6623,22.7,22.7,77.3,"Le Grand-Saconnex GE","NA NA"
6624,42.7,42.7,57.3,"Gy GE","NA NA"
6625,85.1,85.1,14.9,"Hermance GE","NA NA"
6626,17.3,17.3,82.7,"Jussy GE","NA NA"
6627,40.6,40.6,59.4,"Laconnex GE","NA NA"
6628,38.1,38.1,61.9,"Lancy GE","NA NA"
6629,90.8,90.8,9.2,"Meinier GE","NA NA"
6630,82,82,18,"Meyrin GE","NA NA"
6631,83.5,83.5,16.5,"Onex GE","NA NA"
6632,48,48,52,"Perly-Certoux GE","NA NA"
6633,29.9,29.9,70.1,"Plan-les-Ouates GE","NA NA"
6634,85,85,15,"Pregny-Chambésy GE","NA NA"
6635,46.4,46.4,53.6,"PresinGE","NA NA"
6636,18.6,18.6,81.4,"PuplinGE","NA NA"
6637,66.9,66.9,33.1,"Russin GE","NA NA"
6638,48.7,48.7,51.3,"Satigny GE","NA NA"
6639,52.7,52.7,47.3,"Soral GE","NA NA"
6640,15.4,15.4,84.6,"Thônex GE","NA NA"
6641,66.4,66.4,33.6,"Troinex GE","NA NA"
6642,11.1,11.1,88.9,"Vandoeuvres GE","NA NA"
6643,58.7,58.7,41.3,"Vernier GE","NA NA"
6644,42.8,42.8,57.2,"Versoix GE","NA NA"
6645,67.4,67.4,32.6,"Veyrier GE","NA NA"
