"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6601,61.9,61.9,38.1,"Aire-la-Ville (GE)","Les habitants d'Aire-la-Ville acceptent de diviser par deux l'impôt sur les véhicules avec 61,9 pour cent de oui. Ils refusent par contre le contre-projet du gouvernement avec 54,1 pour cent de non."
6602,52.2,52.2,47.8,"Anières (GE)","Les habitants d'Anières acceptent la division par deux de l'impôt sur les véhicules avec 52,2 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 54,6 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 54,8 pour cent de oui."
6603,57.2,57.2,42.8,"Avully (GE)","Les habitants d'Avully sont pour diviser par deux l'impôt sur les véhicules avec 57,2 pour cent de oui. Ils s'opposent par contre au contre-projet du gouvernement avec 52,3 pour cent de non."
6604,54.1,54.1,45.9,"Avusy (GE)","Les habitants d'Avusy veulent diviser par deux l'impôt sur les véhicules. Ils disent oui à 54,1 pour cent à cette proposition de l'UDC et du MCG. Ils approuvent également le contre-projet du gouvernement avec 50,2 pour cent de oui. Les ayants droit tranchent cependant en faveur de l'initiative avec 51,7 pour cent de oui."
6605,46.2,46.2,53.8,"Bardonnex (GE)","Les habitants de Bardonnex ne veulent pas diviser par deux l'impôt sur les véhicules avec 53,8 pour cent de non. Ils sont par contre favorables au contre-projet du gouvernement avec 46,2 pour cent de oui."
6606,55.6,55.6,44.4,"Bellevue (GE)","Les habitants de Bellevue approuvent la division par deux de l'impôt sur les véhicules avec 55,6 pour cent de oui. Ils sont également pour le contre-projet du gouvernement avec 55,4 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 50,9 pour cent de oui."
6607,50.4,50.4,49.6,"Bernex (GE)","Les habitants de Bernex approuvent la division par deux de l'impôt sur les véhicules avec 50,4 pour cent de oui. Ils sont également pour le contre-projet du gouvernement avec 55,5 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 54,5 pour cent de oui."
6608,44.4,44.4,55.6,"Carouge (GE)","Les habitants de Carouge (GE) refusent de diviser par deux l'impôt sur les véhicules avec 55,6 pour cent de non. Ils acceptent par contre le contre-projet du gouvernement avec 44,4 pour cent de oui."
6609,52.8,52.8,47.2,"Cartigny (GE)","Les habitants de Cartigny sont favorables à la division par deux de l'impôt sur les véhicules avec 52,8 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 56,4 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec l'initiative avec 55,1 pour cent de oui."
6610,50.9,50.9,49.1,"Céligny (GE)","Les habitants de Céligny acceptent la division par deux de l'impôt sur les véhicules avec 50,9 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 59,9 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 58,3 pour cent de oui."
6611,60.6,60.6,39.4,"Chancy (GE)","Les habitants de Chancy acceptent de diviser par deux l'impôt sur les véhicules avec 60,6 pour cent de oui. Ils refusent par contre le contre-projet du gouvernement avec 52,6 pour cent de non."
6612,46.5,46.5,53.5,"Chêne-Bougeries (GE)","Les habitants de Chêne-Bougeries refusent de diviser par deux l'impôt sur les véhicules avec 53,5 pour cent de non. Ils acceptent par contre le contre-projet du gouvernement avec 46,5 pour cent de oui."
6613,51.7,51.7,48.3,"Chêne-Bourg (GE)","Les habitants de Chêne-Bourg acceptent la division par deux de l'impôt sur les véhicules avec 51,7 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 54,7 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 53,9 pour cent de oui."
6614,50.5,50.5,49.5,"Choulex (GE)","Les habitants de Choulex sont favorables à la division par deux de l'impôt sur les véhicules avec 50,5 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 52,6 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec l'initiative avec 52,2 pour cent de oui."
6615,51.8,51.8,48.2,"Collex-Bossy (GE)","Les habitants de Collex-Bossy sont favorables à la division par deux de l'impôt sur les véhicules avec 51,8 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 56,3 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec l'initiative avec 53,8 pour cent de oui."
6616,53.3,53.3,46.7,"Collonge-Bellerive (GE)","Les habitants de Collonge-Bellerive acceptent la division par deux de l'impôt sur les véhicules avec 53,3 pour cent de oui. Ils disent également oui au contre-projet du gouvernement avec 54,4 pour cent de oui. Les ayants droit tranchent cependant en faveur du contre-projet avec 53,2 pour cent de oui."
