"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6601,14.2,14.2,85.8,"Aire-la-Ville GE",
6602,22.3,22.3,77.7,"Anières GE",
6603,87.7,87.7,12.3,"Avully GE",
6604,47.2,47.2,52.8,"Avusy GE",
6605,69.3,69.3,30.7,"Bardonnex GE",
6606,48.4,48.4,51.6,"Bellevue GE",
6607,46.5,46.5,53.5,"Bernex GE",
6608,37.3,37.3,62.7,"Carouge GE",
6609,48.9,48.9,51.1,"Cartigny GE",
6610,0.7,0.7,99.3,"Céligny GE",
6611,24.9,24.9,75.1,"Chancy GE",
6612,33.6,33.6,66.4,"Chêne-Bougeries GE",
6613,70,70,30,"Chêne-Bourg GE",
6614,55.4,55.4,44.6,"Choulex GE",
6615,56.7,56.7,43.3,"Collex-Bossy GE",
6616,68,68,32,"Collonge-Bellerive GE",
6617,39.9,39.9,60.1,"Cologny GE",
6618,63.3,63.3,36.7,"Confignon GE",
6619,50.7,50.7,49.3,"Corsier GE",
6620,94.4,94.4,5.6,"Dardagny GE",
6621,85.5,85.5,14.5,"Ginevra GE",
6622,37.3,37.3,62.7,"Genthod GE",
6623,44.6,44.6,55.4,"Le Grand-Saconnex GE",
6624,60.6,60.6,39.4,"Gy GE",
6625,47.3,47.3,52.7,"Hermance GE",
6626,47.3,47.3,52.7,"Jussy GE",
6627,5.6,5.6,94.4,"Laconnex GE",
6628,64.2,64.2,35.8,"Lancy GE",
6629,78.5,78.5,21.5,"Meinier GE",
6630,18.8,18.8,81.2,"Meyrin GE",
6631,34,34,66,"Onex GE",
6632,21.2,21.2,78.8,"Perly-Certoux GE",
6633,43,43,57,"Plan-les-Ouates GE",
6634,43.8,43.8,56.2,"Pregny-Chambésy GE",
6635,20.4,20.4,79.6,"PresinGE",
6636,35,35,65,"PuplinGE",
6637,43.1,43.1,56.9,"Russin GE",
6638,99.9,99.9,0.1,"Satigny GE",
6639,33.2,33.2,66.8,"Soral GE",
6640,4.8,4.8,95.2,"Thônex GE",
6641,39,39,61,"Troinex GE",
6642,46.9,46.9,53.1,"Vandoeuvres GE",
6643,70.2,70.2,29.8,"Vernier GE",
6644,64.7,64.7,35.3,"Versoix GE",
6645,3,3,97,"Veyrier GE",
