"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6702,15.6,15.6,84.4,"Boécourt (JU)","A Boécourt, les habitants disent non à 84,4 pour cent à l'initiative pour le versement d'une 13e rente AVS. Boécourt a rejeté l'initiative, tout comme son canton."
6703,57.3,57.3,42.7,"Bourrignon (JU)","Les habitants de Bourrignon approuvent l'initiative pour le versement d'une 13e rente AVS avec 57,3 pour cent des voix. Bourrignon a approuvé l'initiative, contrairement à son canton."
6704,39.9,39.9,60.1,"Châtillon (JU)","Les habitants de Châtillon (JU) rejettent l'initiative pour le versement d'une 13e rente AVS avec 60,1 pour cent de non. Châtillon (JU) a rejeté l'initiative, tout comme son canton."
6706,64.2,64.2,35.8,"Courchapoix (JU)","A Courchapoix, les habitants disent oui à 64,2 pour cent à l'initiative pour une 13 rente AVS. Courchapoix a approuvé l'initiative, contrairement à son canton."
6708,48,48,52,"Courrendlin (JU)","Les habitants de Courrendlin rejettent l'initiative pour le versement d'une 13e rente AVS avec 52 pour cent de non. Courrendlin a rejeté l'initiative, tout comme son canton."
6709,59.5,59.5,40.5,"Courroux (JU)","A Courroux, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 59,5 pour cent des suffrages. Courroux a approuvé l'initiative, contrairement à son canton."
6710,82.6,82.6,17.4,"Courtételle (JU)","A Courtételle, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 82,6 pour cent des suffrages. Courtételle a approuvé l'initiative, contrairement à son canton."
6711,71.8,71.8,28.2,"Delémont (JU)","Les habitants de Delémont acceptent l'initiative pour le versement d'une 13e rente AVS avec 71,8 pour cent de oui. Delémont a approuvé l'initiative, contrairement à son canton."
6712,69.8,69.8,30.2,"Develier (JU)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Develier avec 69,8 pour cent de oui. Develier a approuvé l'initiative, contrairement à son canton."
6713,97.6,97.6,2.4,"Ederswiler (JU)","Les habitants d'Ederswiler approuvent l'initiative pour le versement d'une 13e rente AVS avec 97,6 pour cent des voix. Le plus fort pourcentage de oui du canton du Jura a été obtenu à Ederswiler."
6715,50.1,50.1,49.9,"Mervelier (JU)","C'est oui à 50,1 pour cent à l'initiative pour le versement d'une 13e rente AVS à Mervelier. Mervelier a approuvé l'initiative, contrairement à son canton."
6716,40.3,40.3,59.7,"Mettembert (JU)","Les habitants de Mettembert s'opposent à l'initiative pour le versement d'une 13e rente AVS avec 59,7 pour cent de non. Mettembert a rejeté l'initiative, tout comme son canton."
6718,72.6,72.6,27.4,"Movelier (JU)","Les électeurs de Movelier valident l'initiative pour le versement d'une 13e rente AVS avec 72,6 pour cent des voix. Movelier a approuvé l'initiative, contrairement à son canton."
6719,40.3,40.3,59.7,"Pleigne (JU)","L'initiative pour le versement d'une 13e rente AVS échoue à Pleigne avec 59,7 pour cent des suffrages. Pleigne a rejeté l'initiative, tout comme son canton."
6721,80.2,80.2,19.8,"Rossemaison (JU)","Les habitants de Rossemaison approuvent l'initiative pour le versement d'une 13e rente AVS avec 80,2 pour cent des voix. Rossemaison a approuvé l'initiative, contrairement à son canton."
6722,60.5,60.5,39.5,"Saulcy (JU)","A Saulcy, les habitants disent oui à 60,5 pour cent à l'initiative pour une 13 rente AVS. Saulcy a approuvé l'initiative, contrairement à son canton."
6724,34.2,34.2,65.8,"Soyhières (JU)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Soyhières avec 65,8 pour cent de non. Soyhières a rejeté l'initiative, tout comme son canton."
6729,24.6,24.6,75.4,"Haute-Sorne (JU)","L'initiative pour le versement d'une 13e rente AVS échoue à Haute-Sorne avec 75,4 pour cent des suffrages. Haute-Sorne a rejeté l'initiative, tout comme son canton."
6730,45,45,55,"Val Terbi (JU)","C'est non à 55 pour cent à l'initiative pour le versement d'une 13e rente AVS à Val Terbi. Val Terbi a rejeté l'initiative, tout comme son canton."
6741,14.1,14.1,85.9,"Le Bémont (JU)","Les habitants du Bémont (JU) s'opposent à l'initiative pour le versement d'une 13e rente AVS avec 85,9 pour cent de non. Le Bémont (JU) a rejeté l'initiative, tout comme son canton."
6742,75.8,75.8,24.2,"Les Bois (JU)","Les électeurs des Bois valident l'initiative pour le versement d'une 13e rente AVS avec 75,8 pour cent des voix. Les Bois a approuvé l'initiative, contrairement à son canton."
6743,69.3,69.3,30.7,"Les Breuleux (JU)","Aux Breuleux, les habitants disent oui à 69,3 pour cent à l'initiative pour une 13 rente AVS. Les Breuleux a approuvé l'initiative, contrairement à son canton."
6745,90.8,90.8,9.2,"Les Enfers (JU)","Aux Enfers, les habitants disent oui à 90,8 pour cent à l'initiative pour une 13 rente AVS. Les Enfers a approuvé l'initiative, contrairement à son canton."
6748,73.5,73.5,26.5,"Les Genevez (JU)","C'est oui à 73,5 pour cent à l'initiative pour le versement d'une 13e rente AVS aux Genevez (JU). Les Genevez (JU) a approuvé l'initiative, contrairement à son canton."
