"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1001,30.5,30.5,69.5,"Doppleschwand LU","Nein zur Initiative für eine 13. AHV-Rente in Doppleschwand: Mit 264 Nein- zu 116 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 69,5 Prozent."
1002,28,28,72,"Entlebuch LU","In Entlebuch hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72 Prozent verworfen."
1004,35.3,35.3,64.7,"Flühli LU","Nein zu einer 13. AHV-Rente in Flühli. Die Gemeinde hat die Initiative mit 64,7 Prozent abgelehnt."
1005,31.9,31.9,68.1,"Hasle LU","68,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hasle LU sagen Nein zur Initiative für eine 13. AHV-Rente."
1007,28.5,28.5,71.5,"Romoos LU","Nein zu einer 13. AHV-Rente in Romoos. Die Gemeinde hat die Initiative mit 71,5 Prozent abgelehnt."
1008,32.9,32.9,67.1,"Schüpfheim LU","Schüpfheim hat die Initiative für eine 13. AHV-Rente mit 67,1 Prozent abgelehnt."
1009,41.7,41.7,58.3,"Werthenstein LU","In Werthenstein hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 58,3 Prozent verworfen."
1010,33.4,33.4,66.6,"Escholzmatt-Marbach LU","Escholzmatt-Marbach hat die Initiative für eine 13. AHV-Rente mit 66,6 Prozent abgelehnt."
1021,41.2,41.2,58.8,"Aesch LU","Aesch LU hat die Initiative für eine 13. AHV-Rente mit 58,8 Prozent abgelehnt."
1023,39.7,39.7,60.3,"Ballwil LU","Ballwil hat die Initiative für eine 13. AHV-Rente mit 60,3 Prozent abgelehnt."
1024,60,60,40,"Emmen LU","60 Prozent der Abstimmenden in der Gemeinde Emmen haben Ja gesagt zur Initiative für eine 13. AHV-Rente."
1025,47.2,47.2,52.8,"Ermensee LU","In Ermensee hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 52,8 Prozent verworfen."
1026,43.5,43.5,56.5,"Eschenbach LU","Nein zu einer 13. AHV-Rente in Eschenbach LU. Die Gemeinde hat die Initiative mit 56,5 Prozent abgelehnt."
1030,43.5,43.5,56.5,"Hitzkirch LU","56,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hitzkirch sagen Nein zur Initiative für eine 13. AHV-Rente."
1031,46.3,46.3,53.7,"Hochdorf LU","In Hochdorf hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 53,7 Prozent verworfen."
1032,36,36,64,"Hohenrain LU","Hohenrain hat die Initiative für eine 13. AHV-Rente mit 64 Prozent abgelehnt."
1033,43.5,43.5,56.5,"Inwil LU","In Inwil hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 56,5 Prozent der abgegebenen Stimmzettel stand ein Nein."
1037,30.8,30.8,69.2,"Rain LU","In Rain hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 69,2 Prozent der abgegebenen Stimmzettel stand ein Nein."
1039,36.7,36.7,63.3,"Römerswil LU","In Römerswil hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 63,3 Prozent verworfen."
1040,44.4,44.4,55.6,"Rothenburg LU","Nein zur Initiative für eine 13. AHV-Rente in Rothenburg: Mit 2'033 Nein- zu 1'626 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 55,6 Prozent."
1041,42.7,42.7,57.3,"Schongau LU","57,3 Prozent der Stimmbürgerinnen und Stimmbürger von Schongau sagen Nein zur Initiative für eine 13. AHV-Rente."
1051,49.8,49.8,50.2,"Adligenswil LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Adligenswil: Mit 1'293 Nein-Stimmen zu 1'284 Ja-Stimmen oder 50,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
1052,48.5,48.5,51.5,"Buchrain LU","Buchrain hat die Initiative für eine 13. AHV-Rente mit 51,5 Prozent abgelehnt."
1053,52.3,52.3,47.7,"Dierikon LU","In Dierikon hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 52,3 Prozent angenommen."
1054,53.9,53.9,46.1,"Ebikon LU","Ja zur Initiative für eine 13. AHV-Rente in Ebikon. Die Gemeinde hat das Volksbegehren mit 53,9 Prozent der Stimmen angenommen."
1055,46.2,46.2,53.8,"Gisikon LU","Nein zur Initiative für eine 13. AHV-Rente in Gisikon: Mit 284 Nein- zu 244 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 53,8 Prozent."
1056,49.6,49.6,50.4,"Greppen LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Greppen: Mit 269 Nein-Stimmen zu 265 Ja-Stimmen oder 50,4 Prozent hat die Gemeinde das Volksbegehren verworfen."
1057,46.8,46.8,53.2,"Honau LU","Nein zur Initiative für eine 13. AHV-Rente in Honau: Mit 123 Nein- zu 108 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 53,2 Prozent."
1058,47.2,47.2,52.8,"Horw LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Horw: Mit 3'447 Nein-Stimmen zu 3'080 Ja-Stimmen oder 52,8 Prozent hat die Gemeinde das Volksbegehren verworfen."
1059,50,0,0,"Kriens LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1061,54.9,54.9,45.1,"Luzern LU","Die Stimmbevölkerung von Luzern hat die Initiative für eine 13. AHV-Rente mit 54,9 Prozent angenommen."
1062,41.1,41.1,58.9,"Malters LU","58,9 Prozent der Stimmbürgerinnen und Stimmbürger von Malters sagen Nein zur Initiative für eine 13. AHV-Rente."
1063,41.3,41.3,58.7,"Meggen LU","58,7 Prozent der Stimmbürgerinnen und Stimmbürger von Meggen sagen Nein zur Initiative für eine 13. AHV-Rente."
1064,42.2,42.2,57.8,"Meierskappel LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Meierskappel: Mit 337 Nein-Stimmen zu 246 Ja-Stimmen oder 57,8 Prozent hat die Gemeinde das Volksbegehren verworfen."
1065,50.7,50.7,49.3,"Root LU","Ja zur Initiative für eine 13. AHV-Rente in Root: Mit 50,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen."
1066,36.1,36.1,63.9,"Schwarzenberg LU","63,9 Prozent der Stimmbürgerinnen und Stimmbürger von Schwarzenberg sagen Nein zur Initiative für eine 13. AHV-Rente."
1067,41.7,41.7,58.3,"Udligenswil LU","58,3 Prozent der Stimmbürgerinnen und Stimmbürger von Udligenswil sagen Nein zur Initiative für eine 13. AHV-Rente."
1068,48.9,48.9,51.1,"Vitznau LU","In Vitznau hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 51,1 Prozent der abgegebenen Stimmzettel stand ein Nein."
1069,49.3,49.3,50.7,"Weggis LU","Nein zur Initiative für eine 13. AHV-Rente in Weggis: Mit 971 Nein- zu 945 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 50,7 Prozent."
1081,38.2,38.2,61.8,"Beromünster LU","61,8 Prozent der Stimmbürgerinnen und Stimmbürger von Beromünster sagen Nein zur Initiative für eine 13. AHV-Rente."
1082,48.1,48.1,51.9,"Büron LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Büron: Mit 447 Nein-Stimmen zu 415 Ja-Stimmen oder 51,9 Prozent hat die Gemeinde das Volksbegehren verworfen."
1083,29.2,29.2,70.8,"Buttisholz LU","In Buttisholz hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 70,8 Prozent der abgegebenen Stimmzettel stand ein Nein."
1084,50,0,0,"Eich LU","Die Resultate dieser Gemeinde sind noch nicht bekannt."
1085,47.8,47.8,52.2,"Geuensee LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Geuensee: Mit 515 Nein-Stimmen zu 471 Ja-Stimmen oder 52,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
1086,33.3,33.3,66.7,"Grosswangen LU","Nein zur Initiative für eine 13. AHV-Rente in Grosswangen: Mit 899 Nein- zu 449 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 66,7 Prozent."
1088,37.8,37.8,62.2,"Hildisrieden LU","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Hildisrieden: Mit 716 Nein-Stimmen zu 436 Ja-Stimmen oder 62,2 Prozent hat die Gemeinde das Volksbegehren verworfen."
