"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1001,91.3,91.3,8.7,"Doppleschwand (LU)","NA NA"
1002,32.1,32.1,67.9,"Entlebuch (LU)","NA NA"
1004,44.2,44.2,55.8,"Flühli (LU)","NA NA"
1005,87.1,87.1,12.9,"Hasle (LU)","NA NA"
1007,54.5,54.5,45.5,"Romoos (LU)","NA NA"
1008,56.2,56.2,43.8,"Schüpfheim (LU)","NA NA"
1009,22.5,22.5,77.5,"Werthenstein (LU)","NA NA"
1010,35.9,35.9,64.1,"Escholzmatt-Marbach (LU)","NA NA"
1021,84.3,84.3,15.7,"Aesch (LU)","NA NA"
1023,39.2,39.2,60.8,"Ballwil (LU)","NA NA"
1024,49.1,49.1,50.9,"Emmen (LU)","NA NA"
1025,29.9,29.9,70.1,"Ermensee (LU)","NA NA"
1026,60.6,60.6,39.4,"Eschenbach (LU)","NA NA"
1030,51.3,51.3,48.7,"Hitzkirch (LU)","NA NA"
1031,26.4,26.4,73.6,"Hochdorf (LU)","NA NA"
1032,32.7,32.7,67.3,"Hohenrain (LU)","NA NA"
1033,96.8,96.8,3.2,"Inwil (LU)","NA NA"
1037,61.4,61.4,38.6,"Rain (LU)","NA NA"
1039,49.4,49.4,50.6,"Römerswil (LU)","NA NA"
1040,60.8,60.8,39.2,"Rothenburg (LU)","NA NA"
1041,58.6,58.6,41.4,"Schongau (LU)","NA NA"
1051,46.5,46.5,53.5,"Adligenswil (LU)","NA NA"
1052,45,45,55,"Buchrain (LU)","NA NA"
1053,68.1,68.1,31.9,"Dierikon (LU)","NA NA"
1054,91.7,91.7,8.3,"Ebikon (LU)","NA NA"
1055,45.9,45.9,54.1,"Gisikon (LU)","NA NA"
1056,32.5,32.5,67.5,"Greppen (LU)","NA NA"
1057,74.9,74.9,25.1,"Honau (LU)","NA NA"
1058,38.1,38.1,61.9,"Horw (LU)","NA NA"
1059,42.5,42.5,57.5,"Kriens (LU)","NA NA"
1061,66.5,66.5,33.5,"Lucerne (LU)","NA NA"
1062,1.5,1.5,98.5,"Malters (LU)","NA NA"
1063,0.3,0.3,99.7,"Meggen (LU)","NA NA"
1064,7.3,7.3,92.7,"Meierskappel (LU)","NA NA"
1065,35.4,35.4,64.6,"Root (LU)","NA NA"
1066,32.8,32.8,67.2,"Schwarzenberg (LU)","NA NA"
1067,16.4,16.4,83.6,"Udligenswil (LU)","NA NA"
1068,49,49,51,"Vitznau (LU)","NA NA"
1069,30.8,30.8,69.2,"Weggis (LU)","NA NA"
1081,30.5,30.5,69.5,"Beromünster (LU)","NA NA"
1082,45.9,45.9,54.1,"Büron (LU)","NA NA"
1083,77.7,77.7,22.3,"Buttisholz (LU)","NA NA"
1084,41.6,41.6,58.4,"Eich (LU)","NA NA"
1085,56.8,56.8,43.2,"Geuensee (LU)","NA NA"
1086,73,73,27,"Grosswangen (LU)","NA NA"
1088,35.7,35.7,64.3,"Hildisrieden (LU)","NA NA"
1089,66,66,34,"Knutwil (LU)","NA NA"
1091,27.4,27.4,72.6,"Mauensee (LU)","NA NA"
1093,18.8,18.8,81.2,"Neuenkirch (LU)","NA NA"
1094,17.2,17.2,82.8,"Nottwil (LU)","NA NA"
1095,46.5,46.5,53.5,"Oberkirch (LU)","NA NA"
1097,54.7,54.7,45.3,"Rickenbach (LU)","NA NA"
1098,47.6,47.6,52.4,"Ruswil (LU)","NA NA"
1099,52.5,52.5,47.5,"Schenkon (LU)","NA NA"
1100,72.8,72.8,27.2,"Schlierbach (LU)","NA NA"
1102,43.9,43.9,56.1,"Sempach (LU)","NA NA"
1103,41.9,41.9,58.1,"Sursee (LU)","NA NA"
1104,9.6,9.6,90.4,"Triengen (LU)","NA NA"
1107,49.6,49.6,50.4,"Wolhusen (LU)","NA NA"
1121,29.5,29.5,70.5,"Alberswil (LU)","NA NA"
1122,57.5,57.5,42.5,"Altbüron (LU)","NA NA"
1123,26.3,26.3,73.7,"Altishofen (LU)","NA NA"
1125,50.3,50.3,49.7,"Dagmersellen (LU)","NA NA"
1127,47.2,47.2,52.8,"Egolzwil (LU)","NA NA"
1128,73.3,73.3,26.7,"Ettiswil (LU)","NA NA"
1129,36.5,36.5,63.5,"Fischbach (LU)","NA NA"
1131,54.5,54.5,45.5,"Grossdietwil (LU)","NA NA"
1132,5.7,5.7,94.3,"Hergiswil bei Willisau (LU)","NA NA"
1135,24.9,24.9,75.1,"Luthern (LU)","NA NA"
1136,67.6,67.6,32.4,"Menznau (LU)","NA NA"
1137,72.5,72.5,27.5,"Nebikon (LU)","NA NA"
1139,83.2,83.2,16.8,"Pfaffnau (LU)","NA NA"
1140,54.9,54.9,45.1,"Reiden (LU)","NA NA"
1142,19.7,19.7,80.3,"Roggliswil (LU)","NA NA"
1143,97.5,97.5,2.5,"Schötz (LU)","NA NA"
1145,60.3,60.3,39.7,"Ufhusen (LU)","NA NA"
1146,20.3,20.3,79.7,"Wauwil (LU)","NA NA"
1147,68.1,68.1,31.9,"Wikon (LU)","NA NA"
1150,54.8,54.8,45.2,"Zell (LU)","NA NA"
1151,62.4,62.4,37.6,"Willisau (LU)","NA NA"
