"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6404,48.6,48.6,51.4,"Boudry (NE)","Les habitants de Boudry s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 51,4 pour cent de non. Boudry a rejeté l'initiative, tout comme son canton."
6408,53.1,53.1,46.9,"Cortaillod (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à Cortaillod avec 53,1 pour cent de oui. Cortaillod a approuvé l'initiative, contrairement à son canton."
6413,38.3,38.3,61.7,"Rochefort (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Rochefort avec 61,7 pour cent des suffrages. Rochefort a rejeté l'initiative, tout comme son canton."
6416,17.9,17.9,82.1,"Milvignes (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Milvignes avec 82,1 pour cent de non. Milvignes a rejeté l'initiative, tout comme son canton."
6417,97.3,97.3,2.7,"La Grande Béroche (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à La Grande Béroche avec 97,3 pour cent de oui. Le plus fort pourcentage de oui du canton de Neuchâtel a été obtenu à La Grande Béroche."
6421,68.4,68.4,31.6,"La Chaux-de-Fonds (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à La Chaux-de-Fonds avec 68,4 pour cent de oui. La Chaux-de-Fonds a approuvé l'initiative, contrairement à son canton."
6422,65.8,65.8,34.2,"Les Planchettes (NE)","Aux Planchettes, les habitants disent oui à 65,8 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Les Planchettes a approuvé l'initiative, contrairement à son canton."
6423,43.1,43.1,56.9,"La Sagne (NE)","Les habitants de La Sagne s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 56,9 pour cent de non. La Sagne a rejeté l'initiative, tout comme son canton."
6432,30.1,30.1,69.9,"La Brévine (NE)","Les habitants de La Brévine s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 69,9 pour cent de non. La Brévine a rejeté l'initiative, tout comme son canton."
6433,59,59,41,"Brot-Plamboz (NE)","A Brot-Plamboz, les habitants disent oui à 59 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Brot-Plamboz a approuvé l'initiative, contrairement à son canton."
6434,53.3,53.3,46.7,"Le Cerneux-Péquignot (NE)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe au Cerneux-Péquignot avec 53,3 pour cent de oui. Le Cerneux-Péquignot a approuvé l'initiative, contrairement à son canton."
