"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1501,40.7,40.7,59.3,"Beckenried NW","In Beckenried hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 59,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Beckenried hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1502,43.1,43.1,56.9,"Buochs NW","Nein zur Initiative für eine 13. AHV-Rente in Buochs: Mit 1'386 Nein- zu 1'049 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 56,9 Prozent. Buochs hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1503,39.8,39.8,60.2,"Dallenwil NW","60,2 Prozent der Stimmbürgerinnen und Stimmbürger von Dallenwil sagen Nein zur Initiative für eine 13. AHV-Rente. Dallenwil hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1504,47.6,47.6,52.4,"Emmetten NW","In Emmetten hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 52,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Emmetten hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1505,45.6,45.6,54.4,"Ennetbürgen NW","In Ennetbürgen hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 54,4 Prozent der abgegebenen Stimmzettel stand ein Nein. Ennetbürgen hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1506,42.5,42.5,57.5,"Ennetmoos NW","In Ennetmoos hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 57,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Ennetmoos hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1507,43.5,43.5,56.5,"Hergiswil NW","56,5 Prozent der Stimmbürgerinnen und Stimmbürger von Hergiswil NW sagen Nein zur Initiative für eine 13. AHV-Rente. Hergiswil NW hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1508,40.3,40.3,59.7,"Oberdorf NW","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Oberdorf NW: Mit 918 Nein-Stimmen zu 620 Ja-Stimmen oder 59,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Oberdorf NW hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1509,45.5,45.5,54.5,"Stans NW","In Stans hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 54,5 Prozent der abgegebenen Stimmzettel stand ein Nein. Stans hat damit gleich wie der Kanton Nidwalden Nein gesagt zu dieser Vorlage."
1510,51,51,49,"Stansstad NW","51 Prozent der Abstimmenden in der Gemeinde Stansstad haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Stansstad hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Nidwalden."
1511,35.4,35.4,64.6,"Wolfenschiessen NW","In Wolfenschiessen hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64,6 Prozent verworfen. Wolfenschiessen hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Nidwalden."
