"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1301,51.5,51.5,48.5,"Einsiedeln SZ","51,5 Prozent der Stimmbürgerinnen und Stimmbürger von Einsiedeln haben die Renteninitiative angenommen. Einsiedeln hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1311,52.5,52.5,47.5,"Gersau SZ","52,5 Prozent der Stimmbürgerinnen und Stimmbürger von Gersau haben die Renteninitiative angenommen. Gersau hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1321,25,25,75,"Feusisberg SZ","Nein zur Renteninitiative in Feusisberg mit 75 Prozent Ablehnung. Feusisberg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1322,52.1,52.1,47.9,"Freienbach SZ","Ja zur Renteninitiative in Freienbach: Mit 52,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Freienbach hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1323,39.3,39.3,60.7,"Wollerau SZ","Keine Mehrheit für die Renteninitiative in Wollerau: Mit 9'675 Nein-Stimmen zu 6'274 Ja-Stimmen oder 60,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Wollerau hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1331,37.8,37.8,62.2,"Küssnacht SZ","Nein zur Renteninitiative in Küssnacht SZ mit 62,2 Prozent Ablehnung. Küssnacht SZ hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1341,38.3,38.3,61.7,"Altendorf SZ","In Altendorf hat die Renteninitiative keine Mehrheit gefunden. Auf 61,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Altendorf hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1342,58.4,58.4,41.6,"Galgenen SZ","Ja zur Renteninitiative in Galgenen: Mit 58,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Galgenen hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1343,32.5,32.5,67.5,"Innerthal SZ","Nein zur Renteninitiative in Innerthal mit 67,5 Prozent Ablehnung. Innerthal hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1344,18.8,18.8,81.2,"Lachen SZ","81,2 Prozent der Stimmbürgerinnen und Stimmbürger von Lachen sagen Nein zur Renteninitiative. Lachen hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1345,47.7,47.7,52.3,"Reichenburg SZ","In Reichenburg hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 52,3 Prozent verworfen. Reichenburg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1346,25,25,75,"Schübelbach SZ","Keine Mehrheit für die Renteninitiative in Schübelbach: Mit 8'765 Nein-Stimmen zu 2'920 Ja-Stimmen oder 75 Prozent hat die Gemeinde das Volksbegehren verworfen. Schübelbach hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1347,54.7,54.7,45.3,"Tuggen SZ","54,7 Prozent der Abstimmenden in der Gemeinde Tuggen haben Ja gesagt zur Renteninitiative. Tuggen hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1348,36.9,36.9,63.1,"Vorderthal SZ","Nein zur Renteninitiative in Vorderthal: Mit 63,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Vorderthal hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1349,80.7,80.7,19.3,"Wangen SZ","In Wangen SZ hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 80,7 Prozent angenommen. Wangen SZ hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1361,7.3,7.3,92.7,"Alpthal SZ","In Alpthal hat die Renteninitiative keine Mehrheit gefunden. Auf 92,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Alpthal hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1362,49.1,49.1,50.9,"Arth SZ","Arth hat die Renteninitiative mit 50,9 Prozent abgelehnt. Arth hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1363,49.8,49.8,50.2,"Illgau SZ","In Illgau hat die Renteninitiative keine Mehrheit gefunden. Auf 50,2 Prozent der abgegebenen Stimmzettel stand ein Nein. Illgau hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1364,86.6,86.6,13.4,"Ingenbohl SZ","In Ingenbohl hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 86,6 Prozent angenommen. Ingenbohl hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1365,5.9,5.9,94.1,"Lauerz SZ","In Lauerz hat die Renteninitiative keine Mehrheit gefunden. Auf 94,1 Prozent der abgegebenen Stimmzettel stand ein Nein. Lauerz hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Schwyz."
1366,42.1,42.1,57.9,"Morschach SZ","57,9 Prozent der Stimmbürgerinnen und Stimmbürger von Morschach sagen Nein zur Renteninitiative. Morschach hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1367,77.5,77.5,22.5,"Muotathal SZ","77,5 Prozent der Stimmbürgerinnen und Stimmbürger von Muotathal haben die Renteninitiative angenommen. Muotathal hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1368,23.2,23.2,76.8,"Oberiberg SZ","Nein zur Renteninitiative in Oberiberg mit 76,8 Prozent Ablehnung. Oberiberg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1369,66,66,34,"Riemenstalden SZ","Ja zur Renteninitiative in Riemenstalden: Mit 66 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Riemenstalden hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1370,89.9,89.9,10.1,"Rothenthurm SZ","89,9 Prozent der Stimmbürgerinnen und Stimmbürger von Rothenthurm haben die Renteninitiative angenommen. Rothenthurm hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Schwyz."
1371,39.5,39.5,60.5,"Sattel SZ","Nein zur Renteninitiative in Sattel mit 60,5 Prozent Ablehnung. Sattel hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1372,89,89,11,"Schwyz SZ","89 Prozent der Stimmbürgerinnen und Stimmbürger von Schwyz haben die Renteninitiative angenommen. Schwyz hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
1373,30.3,30.3,69.7,"Steinen SZ","Steinen hat die Renteninitiative mit 69,7 Prozent abgelehnt. Steinen hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1374,43.1,43.1,56.9,"Steinerberg SZ","Keine Mehrheit für die Renteninitiative in Steinerberg: Mit 8'959 Nein-Stimmen zu 6'788 Ja-Stimmen oder 56,9 Prozent hat die Gemeinde das Volksbegehren verworfen. Steinerberg hat damit anders abgestimmt als der Kanton Schwyz, der die Vorlage angenommen hat."
1375,54,54,46,"Unteriberg SZ","Die Gemeinde Unteriberg hat die Renteninitiative mit 54 Prozent Ja-Stimmen angenommen. Unteriberg hat damit gleich wie der Kanton Schwyz Ja gesagt zu dieser Vorlage."
