"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
5001,71.2,71.2,28.8,"Arbedo-Castione TI","Successo tra gli elettori di Arbedo-Castione per l'iniziativa per una 13esima mensilità AVS, che ha raccolto il 71,2 per cento di voti favorevoli. Arbedo-Castione ha accolto l'iniziativa, così come il cantone in cui si trova."
5002,49.3,49.3,50.7,"Bellinzona TI","L'iniziativa per una 13esima mensilità AVS non ha attecchito sugli elettori di Bellinzona, dove ha totalizzato il 50,7 per cento di voti contrari. Bellinzona ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5003,23.3,23.3,76.7,"Cadenazzo TI","Nel comune di Cadenazzo il 76,7 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Cadenazzo ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5009,37.6,37.6,62.4,"Isone TI","A Isone i votanti hanno affossato l'iniziativa per una 13esima mensilità AVS con il 62,4 per cento di ""no"". Isone ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5010,54.3,54.3,45.7,"Lumino TI","I cittadini di Lumino hanno accolto l'iniziativa per una 13esima mensilità AVS con il 54,3 per cento di voti a favore. Lumino ha accolto l'iniziativa, così come il cantone in cui si trova."
5017,36.1,36.1,63.9,"Sant'Antonino TI","Gli elettori di Sant'Antonino hanno respinto l'iniziativa per una 13esima mensilità AVS con il 63,9 per cento di voti contrari. Sant'Antonino ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5048,40.2,40.2,59.8,"Acquarossa TI","Bocciata l'iniziativa per una 13esima mensilità AVS nel comune di Acquarossa, dove il 59,8 per cento dei cittadini ha votato ""no"". Acquarossa ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5049,89.2,89.2,10.8,"Blenio TI","Successo tra gli elettori di Blenio per l'iniziativa per una 13esima mensilità AVS, che ha raccolto il 89,2 per cento di voti favorevoli. Blenio ha accolto l'iniziativa, così come il cantone in cui si trova."
5050,45.4,45.4,54.6,"Serravalle TI","Gli elettori di Serravalle hanno respinto l'iniziativa per una 13esima mensilità AVS con il 54,6 per cento di voti contrari. Serravalle ha respinto l'iniziativa, contrariamente a quanto avvenuto a livello cantonale."
5061,0.7,0.7,99.3,"Airolo TI","Nel comune di Airolo il 99,3 per cento dei cittadini si è espresso contrariamente all'iniziativa per una 13esima mensilità AVS. Nel canton Ticino, il maggior numero di ""no"" all'iniziativa è stato raccolto a Airolo."
