"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1201,41.7,41.7,58.3,"Altdorf UR","Nein zur Renteninitiative in Altdorf UR: Mit 58,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Altdorf UR hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1202,63.8,63.8,36.2,"Andermatt UR","In Andermatt hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 63,8 Prozent angenommen. Andermatt hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1203,44.3,44.3,55.7,"Attinghausen UR","Nein zur Renteninitiative in Attinghausen mit 55,7 Prozent Ablehnung. Attinghausen hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1205,92.3,92.3,7.7,"Bürglen UR","Die Gemeinde Bürglen UR hat die Renteninitiative mit 92,3 Prozent angenommen. Bürglen UR hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1206,86.9,86.9,13.1,"Erstfeld UR","Die Gemeinde Erstfeld hat die Renteninitiative mit 86,9 Prozent Ja-Stimmen angenommen. Erstfeld hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1207,15.2,15.2,84.8,"Flüelen UR","Nein zur Renteninitiative in Flüelen mit 84,8 Prozent Ablehnung. Flüelen hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1208,29.1,29.1,70.9,"Göschenen UR","Nein zur Renteninitiative in Göschenen: Mit 70,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Göschenen hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1209,90.7,90.7,9.3,"Gurtnellen UR","Ja zur Renteninitiative in Gurtnellen. Die Gemeinde hat das Volksbegehren mit 90,7 Prozent der Stimmen angenommen. Gurtnellen hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1210,89.2,89.2,10.8,"Hospental UR","Ja zur Renteninitiative in Hospental. Die Gemeinde hat das Volksbegehren mit 89,2 Prozent der Stimmen angenommen. Hospental hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1211,28.5,28.5,71.5,"Isenthal UR","Nein zur Renteninitiative in Isenthal: Mit 71,5 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Isenthal hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1212,37.1,37.1,62.9,"Realp UR","62,9 Prozent der Stimmbürgerinnen und Stimmbürger von Realp sagen Nein zur Renteninitiative. Realp hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1213,2.8,2.8,97.2,"Schattdorf UR","97,2 Prozent der Stimmbürgerinnen und Stimmbürger von Schattdorf sagen Nein zur Renteninitiative. Schattdorf hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Uri."
1214,2.9,2.9,97.1,"Seedorf UR","97,1 Prozent der Stimmbürgerinnen und Stimmbürger von Seedorf UR sagen Nein zur Renteninitiative. Seedorf UR hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
1215,65.4,65.4,34.6,"Seelisberg UR","Die Gemeinde Seelisberg hat die Renteninitiative mit 65,4 Prozent angenommen. Seelisberg hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1216,80.4,80.4,19.6,"Silenen UR","80,4 Prozent der Stimmbürgerinnen und Stimmbürger von Silenen haben die Renteninitiative angenommen. Silenen hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1217,69.3,69.3,30.7,"Sisikon UR","69,3 Prozent der Stimmbürgerinnen und Stimmbürger von Sisikon haben die Renteninitiative angenommen. Sisikon hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1218,58.9,58.9,41.1,"Spiringen UR","Die Gemeinde Spiringen hat die Renteninitiative mit 58,9 Prozent Ja-Stimmen angenommen. Spiringen hat damit gleich wie der Kanton Uri Ja gesagt zu dieser Vorlage."
1219,97.9,97.9,2.1,"Unterschächen UR","Die Gemeinde Unterschächen hat die Renteninitiative mit 97,9 Prozent Ja-Stimmen angenommen. Unterschächen hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Uri."
1220,35.1,35.1,64.9,"Wassen UR","Nein zur Renteninitiative in Wassen mit 64,9 Prozent Ablehnung. Wassen hat damit anders abgestimmt als der Kanton Uri, der die Vorlage angenommen hat."
