"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,35.4,35.4,64.6,"Aigle (VD)","A Aigle, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 64,6 pour cent des voix. Aigle a rejeté l'initiative, contrairement à son canton."
5402,85.8,85.8,14.2,"Bex (VD)","Les habitants de Bex acceptent l'initiative pour le versement d'une 13e rente AVS avec 85,8 pour cent de oui. Bex a approuvé l'initiative, tout comme son canton."
5403,84.4,84.4,15.6,"Chessel (VD)","Les habitants de Chessel approuvent l'initiative pour le versement d'une 13e rente AVS avec 84,4 pour cent des voix. Chessel a approuvé l'initiative, tout comme son canton."
5404,1.5,1.5,98.5,"Corbeyrier (VD)","L'initiative pour le versement d'une 13e rente AVS échoue à Corbeyrier avec 98,5 pour cent des suffrages. Le plus fort pourcentage de non du canton de Vaud a été obtenu à Corbeyrier."
5405,47.3,47.3,52.7,"Gryon (VD)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Gryon avec 52,7 pour cent de non. Gryon a rejeté l'initiative, contrairement à son canton."
5406,43.5,43.5,56.5,"Lavey-Morcles (VD)","A Lavey-Morcles, les habitants disent non à 56,5 pour cent à l'initiative pour le versement d'une 13e rente AVS. Lavey-Morcles a rejeté l'initiative, contrairement à son canton."
5407,78.5,78.5,21.5,"Leysin (VD)","Les électeurs de Leysin valident l'initiative pour le versement d'une 13e rente AVS avec 78,5 pour cent des voix. Leysin a approuvé l'initiative, tout comme son canton."
5408,46.5,46.5,53.5,"Noville (VD)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Noville avec 53,5 pour cent de non. Noville a rejeté l'initiative, contrairement à son canton."
5409,65.8,65.8,34.2,"Ollon (VD)","Les électeurs d'Ollon valident l'initiative pour le versement d'une 13e rente AVS avec 65,8 pour cent des voix. Ollon a approuvé l'initiative, tout comme son canton."
5410,72.7,72.7,27.3,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous acceptent l'initiative pour le versement d'une 13e rente AVS avec 72,7 pour cent de oui. Ormont-Dessous a approuvé l'initiative, tout comme son canton."
5411,40.8,40.8,59.2,"Ormont-Dessus (VD)","L'initiative pour le versement d'une 13e rente AVS échoue à Ormont-Dessus avec 59,2 pour cent des suffrages. Ormont-Dessus a rejeté l'initiative, contrairement à son canton."
5412,45.4,45.4,54.6,"Rennaz (VD)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Rennaz avec 54,6 pour cent de non. Rennaz a rejeté l'initiative, contrairement à son canton."
5413,46.4,46.4,53.6,"Roche (VD)","A Roche (VD), les habitants disent non à 53,6 pour cent à l'initiative pour le versement d'une 13e rente AVS. Roche (VD) a rejeté l'initiative, contrairement à son canton."
