"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
5401,47.9,47.9,52.1,"Aigle (VD)","A Aigle, les habitants sont défavorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 52,1 pour cent des voix. Aigle a rejeté l'initiative, tout comme son canton."
5402,40.5,40.5,59.5,"Bex (VD)","Les habitants de Bex rejettent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 59,5 pour cent de non. Bex a rejeté l'initiative, tout comme son canton."
5403,24.9,24.9,75.1,"Chessel (VD)","Les habitants de Chessel s'opposent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 75,1 pour cent de non. Chessel a rejeté l'initiative, tout comme son canton."
5404,59.9,59.9,40.1,"Corbeyrier (VD)","Les électeurs de Corbeyrier valident l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 59,9 pour cent des voix. Corbeyrier a approuvé l'initiative, contrairement à son canton."
5405,47.7,47.7,52.3,"Gryon (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Gryon avec 52,3 pour cent de non. Gryon a rejeté l'initiative, tout comme son canton."
5406,60.3,60.3,39.7,"Lavey-Morcles (VD)","A Lavey-Morcles, les habitants disent oui à 60,3 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Lavey-Morcles a approuvé l'initiative, contrairement à son canton."
5407,44,44,56,"Leysin (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Leysin avec 56 pour cent des suffrages. Leysin a rejeté l'initiative, tout comme son canton."
5408,37.1,37.1,62.9,"Noville (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Noville avec 62,9 pour cent de non. Noville a rejeté l'initiative, tout comme son canton."
5409,50.5,50.5,49.5,"Ollon (VD)","Les électeurs d'Ollon valident l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 50,5 pour cent des voix. Ollon a approuvé l'initiative, contrairement à son canton."
5410,66.9,66.9,33.1,"Ormont-Dessous (VD)","Les habitants d'Ormont-Dessous acceptent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 66,9 pour cent de oui. Ormont-Dessous a approuvé l'initiative, contrairement à son canton."
5411,70.9,70.9,29.1,"Ormont-Dessus (VD)","Les électeurs d'Ormont-Dessus valident l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 70,9 pour cent des voix. Ormont-Dessus a approuvé l'initiative, contrairement à son canton."
5412,79.1,79.1,20.9,"Rennaz (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à Rennaz avec 79,1 pour cent de oui. Rennaz a approuvé l'initiative, contrairement à son canton."
5413,55.6,55.6,44.4,"Roche (VD)","A Roche (VD), les habitants disent oui à 55,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Roche (VD) a approuvé l'initiative, contrairement à son canton."
5414,88.5,88.5,11.5,"Villeneuve (VD)","A Villeneuve (VD), les habitants disent oui à 88,5 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Villeneuve (VD) a approuvé l'initiative, contrairement à son canton."
5415,59.4,59.4,40.6,"Yvorne (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à Yvorne avec 59,4 pour cent de oui. Yvorne a approuvé l'initiative, contrairement à son canton."
5422,44.1,44.1,55.9,"Aubonne (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite ne passe pas la rampe à Aubonne avec 55,9 pour cent de non. Aubonne a rejeté l'initiative, tout comme son canton."
5423,14,14,86,"Ballens (VD)","A Ballens, les habitants disent non à 86 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Ballens a rejeté l'initiative, tout comme son canton."
5424,47.4,47.4,52.6,"Berolle (VD)","Les habitants de Berolle rejettent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 52,6 pour cent de non. Berolle a rejeté l'initiative, tout comme son canton."
5425,67.4,67.4,32.6,"Bière (VD)","Les habitants de Bière approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 67,4 pour cent des voix. Bière a approuvé l'initiative, contrairement à son canton."
5426,8.4,8.4,91.6,"Bougy-Villars (VD)","C'est non à 91,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Bougy-Villars. Bougy-Villars a rejeté l'initiative, tout comme son canton."
5427,23.3,23.3,76.7,"Féchy (VD)","A Féchy, les habitants disent non à 76,7 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Féchy a rejeté l'initiative, tout comme son canton."
5428,56.9,56.9,43.1,"Gimel (VD)","A Gimel, les habitants sont favorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 56,9 pour cent des suffrages. Gimel a approuvé l'initiative, contrairement à son canton."
5429,25.2,25.2,74.8,"Longirod (VD)","Les habitants de Longirod rejettent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 74,8 pour cent de non. Longirod a rejeté l'initiative, tout comme son canton."
5430,60,60,40,"Marchissy (VD)","A Marchissy, les habitants disent oui à 60 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Marchissy a approuvé l'initiative, contrairement à son canton."
5431,37.1,37.1,62.9,"Mollens (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Mollens (VD) avec 62,9 pour cent des suffrages. Mollens (VD) a rejeté l'initiative, tout comme son canton."
5434,83.8,83.8,16.2,"Saint-George (VD)","Les électeurs de Saint-George valident l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 83,8 pour cent des voix. Saint-George a approuvé l'initiative, contrairement à son canton."
5435,44.1,44.1,55.9,"Saint-Livres (VD)","A Saint-Livres, les habitants sont défavorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 55,9 pour cent des voix. Saint-Livres a rejeté l'initiative, tout comme son canton."
5436,59.7,59.7,40.3,"Saint-Oyens (VD)","Les habitants de Saint-Oyens approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 59,7 pour cent des voix. Saint-Oyens a approuvé l'initiative, contrairement à son canton."
5437,38.3,38.3,61.7,"Saubraz (VD)","A Saubraz, les habitants disent non à 61,7 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Saubraz a rejeté l'initiative, tout comme son canton."
5451,36.1,36.1,63.9,"Avenches (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite échoue à Avenches avec 63,9 pour cent des suffrages. Avenches a rejeté l'initiative, tout comme son canton."
5456,51.6,51.6,48.4,"Cudrefin (VD)","A Cudrefin, les habitants disent oui à 51,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Cudrefin a approuvé l'initiative, contrairement à son canton."
5458,51.5,51.5,48.5,"Faoug (VD)","L'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite passe la rampe à Faoug avec 51,5 pour cent de oui. Faoug a approuvé l'initiative, contrairement à son canton."
