"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
6002,47,47,53,"Brigue-Glis (VS)","C'est non à 53 pour cent à l'initiative pour le versement d'une 13e rente AVS à Brigue-Glis. Brigue-Glis a rejeté l'initiative, contrairement à son canton."
6004,62.4,62.4,37.6,"Eggerberg (VS)","Les habitants d'Eggerberg approuvent l'initiative pour le versement d'une 13e rente AVS avec 62,4 pour cent des voix. Eggerberg a approuvé l'initiative, tout comme son canton."
6007,59.1,59.1,40.9,"Naters (VS)","Les habitants de Naters approuvent l'initiative pour le versement d'une 13e rente AVS avec 59,1 pour cent des voix. Naters a approuvé l'initiative, tout comme son canton."
6008,38.1,38.1,61.9,"Ried-Brig (VS)","L'initiative pour le versement d'une 13e rente AVS ne passe pas la rampe à Ried-Brig avec 61,9 pour cent de non. Ried-Brig a rejeté l'initiative, contrairement à son canton."
6009,15,15,85,"Simplon (VS)","A Simplon, les habitants disent non à 85 pour cent à l'initiative pour le versement d'une 13e rente AVS. Simplon a rejeté l'initiative, contrairement à son canton."
6010,59,59,41,"Termen (VS)","Les habitants de Termen acceptent l'initiative pour le versement d'une 13e rente AVS avec 59 pour cent de oui. Termen a approuvé l'initiative, tout comme son canton."
6011,50.2,50.2,49.8,"Zwischbergen (VS)","A Zwischbergen, les habitants sont favorables à l'initiative pour le versement d'une 13e rente AVS avec 50,2 pour cent des suffrages. Zwischbergen a approuvé l'initiative, tout comme son canton."
6021,97.2,97.2,2.8,"Ardon (VS)","Les habitants d'Ardon acceptent l'initiative pour le versement d'une 13e rente AVS avec 97,2 pour cent de oui. Ardon a approuvé l'initiative, tout comme son canton."
6022,70.8,70.8,29.2,"Chamoson (VS)","C'est oui à 70,8 pour cent à l'initiative pour le versement d'une 13e rente AVS à Chamoson. Chamoson a approuvé l'initiative, tout comme son canton."
6023,81.4,81.4,18.6,"Conthey (VS)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Conthey avec 81,4 pour cent de oui. Conthey a approuvé l'initiative, tout comme son canton."
6024,72.4,72.4,27.6,"Nendaz (VS)","A Nendaz, les habitants disent oui à 72,4 pour cent à l'initiative pour une 13 rente AVS. Nendaz a approuvé l'initiative, tout comme son canton."
6025,42.5,42.5,57.5,"Vétroz (VS)","C'est non à 57,5 pour cent à l'initiative pour le versement d'une 13e rente AVS à Vétroz. Vétroz a rejeté l'initiative, contrairement à son canton."
6032,44.3,44.3,55.7,"Bourg-Saint-Pierre (VS)","A Bourg-Saint-Pierre, les habitants sont défavorables à l'initiative pour le versement d'une 13e rente AVS avec 55,7 pour cent des voix. Bourg-Saint-Pierre a rejeté l'initiative, contrairement à son canton."
6033,33.7,33.7,66.3,"Liddes (VS)","Les habitants de Liddes rejettent l'initiative pour le versement d'une 13e rente AVS avec 66,3 pour cent de non. Liddes a rejeté l'initiative, contrairement à son canton."
6034,49.4,49.4,50.6,"Orsières (VS)","C'est non à 50,6 pour cent à l'initiative pour le versement d'une 13e rente AVS à Orsières. Orsières a rejeté l'initiative, contrairement à son canton."
6035,48.6,48.6,51.4,"Sembrancher (VS)","A Sembrancher, les habitants disent non à 51,4 pour cent à l'initiative pour le versement d'une 13e rente AVS. Sembrancher a rejeté l'initiative, contrairement à son canton."
6037,69.5,69.5,30.5,"Val de Bagnes (VS)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Val de Bagnes avec 69,5 pour cent de oui. Val de Bagnes a approuvé l'initiative, tout comme son canton."
6052,50.4,50.4,49.6,"Bellwald (VS)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Bellwald avec 50,4 pour cent de oui. Bellwald a approuvé l'initiative, tout comme son canton."
6054,46.6,46.6,53.4,"Binn (VS)","Les habitants de Binn s'opposent à l'initiative pour le versement d'une 13e rente AVS avec 53,4 pour cent de non. Binn a rejeté l'initiative, contrairement à son canton."
6056,5.8,5.8,94.2,"Ernen (VS)","A Ernen, les habitants disent non à 94,2 pour cent à l'initiative pour le versement d'une 13e rente AVS. Le plus fort pourcentage de non en Valais a été obtenu à Ernen."
6057,33.1,33.1,66.9,"Fiesch (VS)","A Fiesch, les habitants disent non à 66,9 pour cent à l'initiative pour le versement d'une 13e rente AVS. Fiesch a rejeté l'initiative, contrairement à son canton."
6058,85.5,85.5,14.5,"Fieschertal (VS)","L'initiative pour le versement d'une 13e rente AVS passe la rampe à Fieschertal avec 85,5 pour cent de oui. Fieschertal a approuvé l'initiative, tout comme son canton."
6061,62.6,62.6,37.4,"Lax (VS)","Les habitants de Lax approuvent l'initiative pour le versement d'une 13e rente AVS avec 62,6 pour cent des voix. Lax a approuvé l'initiative, tout comme son canton."
