"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
6002,63.4,63.4,36.6,"Brig-Glis VS","63,4 Prozent der Abstimmenden in der Gemeinde Brig-Glis haben Ja gesagt zur Renteninitiative. Brig-Glis hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6004,15.8,15.8,84.2,"Eggerberg VS","84,2 Prozent der Stimmbürgerinnen und Stimmbürger von Eggerberg sagen Nein zur Renteninitiative. Eggerberg hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6007,37.6,37.6,62.4,"Naters VS","62,4 Prozent der Stimmbürgerinnen und Stimmbürger von Naters sagen Nein zur Renteninitiative. Naters hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6008,49.8,49.8,50.2,"Ried-Brig VS","Ried-Brig hat die Renteninitiative mit 50,2 Prozent abgelehnt. Ried-Brig hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6009,63.5,63.5,36.5,"Simplon VS","Die Gemeinde Simplon hat die Renteninitiative mit 63,5 Prozent angenommen. Simplon hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6010,83,83,17,"Termen VS","Die Gemeinde Termen hat die Renteninitiative mit 83 Prozent Ja-Stimmen angenommen. Termen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6011,4.5,4.5,95.5,"Zwischbergen VS","In Zwischbergen hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 95,5 Prozent verworfen. Zwischbergen hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6021,67,67,33,"Ardon VS","Die Gemeinde Ardon hat die Renteninitiative mit 67 Prozent Ja-Stimmen angenommen. Ardon hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6022,8.3,8.3,91.7,"Chamoson VS","Keine Mehrheit für die Renteninitiative in Chamoson: Mit 5'063 Nein-Stimmen zu 457 Ja-Stimmen oder 91,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Chamoson hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6023,41.3,41.3,58.7,"Conthey VS","Conthey hat die Renteninitiative mit 58,7 Prozent abgelehnt. Conthey hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6024,7.8,7.8,92.2,"Nendaz VS","Nein zur Renteninitiative in Nendaz mit 92,2 Prozent Ablehnung. Nendaz hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6025,60.4,60.4,39.6,"Vétroz VS","60,4 Prozent der Abstimmenden in der Gemeinde Vétroz haben Ja gesagt zur Renteninitiative. Vétroz hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6032,32.8,32.8,67.2,"Bourg-Saint-Pierre VS","In Bourg-Saint-Pierre hat die Stimmbevölkerung die Renteninitiative abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 67,2 Prozent verworfen. Bourg-Saint-Pierre hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6033,10.1,10.1,89.9,"Liddes VS","In Liddes hat die Renteninitiative keine Mehrheit gefunden. Auf 89,9 Prozent der abgegebenen Stimmzettel stand ein Nein. Liddes hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6034,59.5,59.5,40.5,"Orsières VS","59,5 Prozent der Abstimmenden in der Gemeinde Orsières haben Ja gesagt zur Renteninitiative. Orsières hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6035,48.4,48.4,51.6,"Sembrancher VS","Nein zur Renteninitiative in Sembrancher mit 51,6 Prozent Ablehnung. Sembrancher hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6037,69.7,69.7,30.3,"Val de Bagnes VS","Ja zur Renteninitiative in Val de Bagnes. Die Gemeinde hat das Volksbegehren mit 69,7 Prozent der Stimmen angenommen. Val de Bagnes hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6052,95.2,95.2,4.8,"Bellwald VS","Ja zur Renteninitiative in Bellwald. Die Gemeinde hat das Volksbegehren mit 95,2 Prozent der Stimmen angenommen. Bellwald hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6054,89.2,89.2,10.8,"Binn VS","Ja zur Renteninitiative in Binn: Mit 89,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Binn hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6056,42.3,42.3,57.7,"Ernen VS","Nein zur Renteninitiative in Ernen mit 57,7 Prozent Ablehnung. Ernen hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6057,53.3,53.3,46.7,"Fiesch VS","Die Gemeinde Fiesch hat die Renteninitiative mit 53,3 Prozent angenommen. Fiesch hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6058,80.3,80.3,19.7,"Fieschertal VS","Ja zur Renteninitiative in Fieschertal. Die Gemeinde hat das Volksbegehren mit 80,3 Prozent der Stimmen angenommen. Fieschertal hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6061,21.3,21.3,78.7,"Lax VS","78,7 Prozent der Stimmbürgerinnen und Stimmbürger von Lax sagen Nein zur Renteninitiative. Lax hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6076,81.3,81.3,18.7,"Obergoms VS","Die Gemeinde Obergoms hat die Renteninitiative mit 81,3 Prozent Ja-Stimmen angenommen. Obergoms hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6077,33.5,33.5,66.5,"Goms VS","66,5 Prozent der Stimmbürgerinnen und Stimmbürger von Goms sagen Nein zur Renteninitiative. Goms hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6082,64.8,64.8,35.2,"Ayent VS","In Ayent hat die Stimmbevölkerung der Renteninitiative zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 64,8 Prozent angenommen. Ayent hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6083,77.6,77.6,22.4,"Evolène VS","77,6 Prozent der Stimmbürgerinnen und Stimmbürger von Evolène haben die Renteninitiative angenommen. Evolène hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6084,21.3,21.3,78.7,"Hérémence VS","78,7 Prozent der Stimmbürgerinnen und Stimmbürger von Hérémence sagen Nein zur Renteninitiative. Hérémence hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6087,38.6,38.6,61.4,"Saint-Martin VS","61,4 Prozent der Stimmbürgerinnen und Stimmbürger von Saint-Martin VS sagen Nein zur Renteninitiative. Saint-Martin VS hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6089,38.4,38.4,61.6,"Vex VS","61,6 Prozent der Stimmbürgerinnen und Stimmbürger von Vex sagen Nein zur Renteninitiative. Vex hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6090,49.7,49.7,50.3,"Mont-Noble VS","In Mont-Noble hat die Renteninitiative keine Mehrheit gefunden. Auf 50,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Mont-Noble hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6101,60.3,60.3,39.7,"Agarn VS","Ja zur Renteninitiative in Agarn. Die Gemeinde hat das Volksbegehren mit 60,3 Prozent der Stimmen angenommen. Agarn hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6102,53.3,53.3,46.7,"Albinen VS","Ja zur Renteninitiative in Albinen: Mit 53,3 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Albinen hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6104,95.1,95.1,4.9,"Ergisch VS","Ja zur Renteninitiative in Ergisch. Die Gemeinde hat das Volksbegehren mit 95,1 Prozent der Stimmen angenommen. Ergisch hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6109,91,91,9,"Inden VS","Ja zur Renteninitiative in Inden. Die Gemeinde hat das Volksbegehren mit 91 Prozent der Stimmen angenommen. Inden hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6110,82.9,82.9,17.1,"Leuk VS","82,9 Prozent der Stimmbürgerinnen und Stimmbürger von Leuk haben die Renteninitiative angenommen. Leuk hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6111,54.5,54.5,45.5,"Leukerbad VS","54,5 Prozent der Stimmbürgerinnen und Stimmbürger von Leukerbad haben die Renteninitiative angenommen. Leukerbad hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6112,80.4,80.4,19.6,"Oberems VS","Ja zur Renteninitiative in Oberems. Die Gemeinde hat das Volksbegehren mit 80,4 Prozent der Stimmen angenommen. Oberems hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
6113,21.8,21.8,78.2,"Salgesch VS","78,2 Prozent der Stimmbürgerinnen und Stimmbürger von Salgesch sagen Nein zur Renteninitiative. Salgesch hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6116,32.1,32.1,67.9,"Varen VS","67,9 Prozent der Stimmbürgerinnen und Stimmbürger von Varen sagen Nein zur Renteninitiative. Varen hat damit anders abgestimmt als der Kanton Wallis, der die Vorlage angenommen hat."
6117,78.6,78.6,21.4,"Guttet-Feschel VS","Die Gemeinde Guttet-Feschel hat die Renteninitiative mit 78,6 Prozent Ja-Stimmen angenommen. Guttet-Feschel hat damit gleich wie der Kanton Wallis Ja gesagt zu dieser Vorlage."
