"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
6002,63,63,37,"Briga-Glis VS",
6004,98.7,98.7,1.3,"Eggerberg VS",
6007,36.6,36.6,63.4,"Naters VS",
6008,11.4,11.4,88.6,"Ried-Brig VS",
6009,52.8,52.8,47.2,"Sempione VS",
6010,82.7,82.7,17.3,"Termen VS",
6011,46.3,46.3,53.7,"Zwischbergen VS",
6021,36.7,36.7,63.3,"Ardon VS",
6022,81.6,81.6,18.4,"Chamoson VS",
6023,15.2,15.2,84.8,"Conthey VS",
6024,49.3,49.3,50.7,"Nendaz VS",
6025,61.7,61.7,38.3,"Vétroz VS",
6032,57.5,57.5,42.5,"Bourg-Saint-Pierre VS",
6033,62,62,38,"Liddes VS",
6034,44.4,44.4,55.6,"Orsières VS",
6035,81.1,81.1,18.9,"Sembrancher VS",
6037,35.2,35.2,64.8,"Val de Bagnes VS",
6052,89.9,89.9,10.1,"Bellwald VS",
6054,15.6,15.6,84.4,"Binn VS",
6056,47.7,47.7,52.3,"Ernen VS",
6057,46.3,46.3,53.7,"Fiesch VS",
6058,1.4,1.4,98.6,"Fieschertal VS",
6061,70.2,70.2,29.8,"Lax VS",
6076,6,6,94,"Obergoms VS",
6077,55.7,55.7,44.3,"Goms VS",
6082,62.2,62.2,37.8,"Ayent VS",
6083,51.7,51.7,48.3,"Evolène VS",
6084,61.8,61.8,38.2,"Hérémence VS",
6087,44.8,44.8,55.2,"Saint-Martin VS",
6089,18,18,82,"Vex VS",
6090,27.1,27.1,72.9,"Mont-Noble VS",
6101,48.2,48.2,51.8,"Agarn VS",
6102,70.7,70.7,29.3,"Albinen VS",
6104,80.7,80.7,19.3,"Ergisch VS",
6109,11.7,11.7,88.3,"Inden VS",
6110,54.2,54.2,45.8,"Leuk VS",
6111,50.1,50.1,49.9,"Leukerbad VS",
6112,16.9,16.9,83.1,"Oberems VS",
6113,95.8,95.8,4.2,"Salgesch VS",
6116,18.3,18.3,81.7,"Varen VS",
6117,64.2,64.2,35.8,"Guttet-Feschel VS",
6118,5.1,5.1,94.9,"Gampel-Bratsch VS",
6119,96.7,96.7,3.3,"Turtmann-Unterems VS",
6131,50.5,50.5,49.5,"Bovernier VS",
6133,23.5,23.5,76.5,"Fully VS",
6134,40.3,40.3,59.7,"Isérables VS",
6135,52.5,52.5,47.5,"Leytron VS",
6136,51.6,51.6,48.4,"Martigny VS",
6137,57.8,57.8,42.2,"Martigny-Combe VS","le droit pour les étrangers détenant un permis C de voter et d'être élu au niveau communal"
6139,66.1,66.1,33.9,"Riddes VS",
6140,85.6,85.6,14.4,"Saillon VS",
6141,54.3,54.3,45.7,"Saxon VS",
6142,56.1,56.1,43.9,"Trient VS",
6151,21,21,79,"Champéry VS",
6152,87.9,87.9,12.1,"Collombey-Muraz VS",
6153,4.1,4.1,95.9,"Monthey VS",
6154,53.8,53.8,46.2,"Port-Valais VS",
6155,5.9,5.9,94.1,"Saint-Gingolph VS",
6156,9.7,9.7,90.3,"Troistorrents VS",
6157,77.8,77.8,22.2,"Val-d'Illiez VS",
6158,97.1,97.1,2.9,"Vionnaz VS",
6159,46.8,46.8,53.2,"Vouvry VS",
6172,63.2,63.2,36.8,"Bister VS",
6173,25,25,75,"Bitsch VS",
6177,58.4,58.4,41.6,"Grengiols VS",
6181,92.1,92.1,7.9,"Riederalp VS",
6191,14.9,14.9,85.1,"Ausserberg VS",
6192,88.6,88.6,11.4,"Blatten VS",
6193,38.3,38.3,61.7,"Bürchen VS",
6194,59.1,59.1,40.9,"Eischoll VS",
6195,51,51,49,"Ferden VS",
6197,59.8,59.8,40.2,"Kippel VS",
6198,67.4,67.4,32.6,"Niedergesteln VS",
6199,53.6,53.6,46.4,"Raron VS","le droit pour les étrangers détenant un permis C de voter et d'être élu au niveau communal"
6201,53.6,53.6,46.4,"Unterbäch VS",
6202,20.6,20.6,79.4,"Wiler (Lötschen) VS",
6203,58.4,58.4,41.6,"Mörel-Filet VS",
6204,53.5,53.5,46.5,"Steg-Hohtenn VS",
6205,22.4,22.4,77.6,"Bettmeralp VS",
6211,46.6,46.6,53.4,"Collonges VS",
6212,67.5,67.5,32.5,"Dorénaz VS",
6213,60.4,60.4,39.6,"Evionnaz VS",
6214,75.3,75.3,24.7,"Finhaut VS",
6215,41.3,41.3,58.7,"Massongex VS",
6217,68.8,68.8,31.2,"Saint-Maurice VS",
6218,81.5,81.5,18.5,"Salvan VS",
6219,37.9,37.9,62.1,"Vernayaz VS",
6220,36.6,36.6,63.4,"Vérossaz VS",
6232,97.3,97.3,2.7,"Chalais VS",
6235,54.5,54.5,45.5,"Chippis VS",
6238,36.7,36.7,63.3,"Grône VS",
6239,22,22,78,"Icogne VS",
6240,49.5,49.5,50.5,"Lens VS",
6246,89,89,11,"Saint-Léonard VS",
6248,70.1,70.1,29.9,"Siders VS",
6252,24.2,24.2,75.8,"Anniviers VS",
6253,45.7,45.7,54.3,"Crans-Montana VS",
6254,34.5,34.5,65.5,"Noble-Contrée VS",
6261,85.6,85.6,14.4,"Arbaz VS",
6263,57.4,57.4,42.6,"Grimisuat VS",
6265,57.5,57.5,42.5,"Savièse VS","le droit pour les étrangers détenant un permis C de voter et d'être élu au niveau communal"
6266,57.9,57.9,42.1,"Sitten VS",
6267,46.4,46.4,53.6,"Veysonnaz VS",
6281,41.1,41.1,58.9,"Baltschieder VS",
6282,20.1,20.1,79.9,"Eisten VS",
6283,45,45,55,"Embd VS",
6285,42.3,42.3,57.7,"Grächen VS",
6286,34.4,34.4,65.6,"Lalden VS",
6287,89.1,89.1,10.9,"Randa VS",
6288,47,47,53,"Saas-Almagell VS",
6289,37.9,37.9,62.1,"Saas-Balen VS",
6290,79.3,79.3,20.7,"Saas-Fee VS","le droit pour les étrangers détenant un permis C de voter et d'être élu au niveau communal"
6291,99,99,1,"Saas-Grund VS",
6292,75.8,75.8,24.2,"St. Niklaus VS",
6293,50.3,50.3,49.7,"Stalden VS",
6294,85.4,85.4,14.6,"Staldenried VS",
6295,49.6,49.6,50.4,"Täsch VS",
6296,46,46,54,"Törbel VS",
6297,68,68,32,"Visp VS",
6298,81.5,81.5,18.5,"Visperterminen VS","le droit pour les étrangers détenant un permis C de voter et d'être élu au niveau communal"
6299,5.7,5.7,94.3,"Zeneggen VS",
6300,49.2,49.2,50.8,"Zermatt VS",
