"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1,59,59,41,"Aeugst am Albis ZH","Die Gemeinde Aeugst am Albis hat die Initiative für eine 13. AHV-Rente mit 59 Prozent Ja-Stimmen angenommen. Aeugst am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
2,43.4,43.4,56.6,"Affoltern am Albis ZH","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Affoltern am Albis: Mit 5'190 Nein-Stimmen zu 3'987 Ja-Stimmen oder 56,6 Prozent hat die Gemeinde das Volksbegehren verworfen. Affoltern am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
3,64.2,64.2,35.8,"Bonstetten ZH","64,2 Prozent der Abstimmenden in der Gemeinde Bonstetten haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Bonstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
4,45.8,45.8,54.2,"Hausen am Albis ZH","Nein zu einer 13. AHV-Rente in Hausen am Albis. Die Gemeinde hat die Initiative mit 54,2 Prozent abgelehnt. Hausen am Albis hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
5,53.4,53.4,46.6,"Hedingen ZH","Ja zur Initiative für eine 13. AHV-Rente in Hedingen: Mit 53,4 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Hedingen hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
6,54.6,54.6,45.4,"Kappel am Albis ZH","54,6 Prozent der Abstimmenden in der Gemeinde Kappel am Albis haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Kappel am Albis hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
7,47.3,47.3,52.7,"Knonau ZH","52,7 Prozent der Stimmbürgerinnen und Stimmbürger von Knonau sagen Nein zur Initiative für eine 13. AHV-Rente. Knonau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
8,68.3,68.3,31.7,"Maschwanden ZH","In Maschwanden hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 68,3 Prozent angenommen. Maschwanden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
9,81.5,81.5,18.5,"Mettmenstetten ZH","Die Stimmbevölkerung von Mettmenstetten hat die Initiative für eine 13. AHV-Rente mit 81,5 Prozent angenommen. Mettmenstetten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
10,83.5,83.5,16.5,"Obfelden ZH","Die Stimmbevölkerung von Obfelden hat die Initiative für eine 13. AHV-Rente mit 83,5 Prozent angenommen. Obfelden hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
