"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_it","Text_it"
1,53.8,53.8,46.2,"Aeugst am Albis ZH",
2,44.9,44.9,55.1,"Affoltern am Albis ZH",
3,30.6,30.6,69.4,"Bonstetten ZH",
4,47.9,47.9,52.1,"Hausen am Albis ZH",
5,31.9,31.9,68.1,"Hedingen ZH",
6,46.1,46.1,53.9,"Kappel am Albis ZH",
7,68.7,68.7,31.3,"Knonau ZH",
8,29.9,29.9,70.1,"Maschwanden ZH",
9,37.8,37.8,62.2,"Mettmenstetten ZH",
10,95.4,95.4,4.6,"Obfelden ZH",
11,46.3,46.3,53.7,"Ottenbach ZH",
12,41.8,41.8,58.2,"Rifferswil ZH",
13,70.7,70.7,29.3,"Stallikon ZH",
14,99.9,99.9,0.1,"Wettswil am Albis ZH",
22,76.6,76.6,23.4,"Benken ZH",
23,83.4,83.4,16.6,"Berg am Irchel ZH",
24,29.6,29.6,70.4,"Buch am Irchel ZH",
25,45.3,45.3,54.7,"Dachsen ZH",
26,93.9,93.9,6.1,"Dorf ZH",
27,51.4,51.4,48.6,"Feuerthalen ZH",
28,51.5,51.5,48.5,"Flaach ZH",
29,55.3,55.3,44.7,"Flurlingen ZH",
31,84.1,84.1,15.9,"Henggart ZH",
33,51.4,51.4,48.6,"Kleinandelfingen ZH",
34,93.4,93.4,6.6,"Laufen-Uhwiesen ZH",
35,23,23,77,"Marthalen ZH",
37,45.1,45.1,54.9,"Ossingen ZH",
38,12.1,12.1,87.9,"Rheinau ZH",
39,89,89,11,"Thalheim an der Thur ZH",
40,58.3,58.3,41.7,"Trüllikon ZH",
41,29,29,71,"Truttikon ZH",
43,45.4,45.4,54.6,"Volken ZH",
51,68.2,68.2,31.8,"Bachenbülach ZH",
52,72.2,72.2,27.8,"Bassersdorf ZH",
53,54.1,54.1,45.9,"Bülach ZH",
54,99.3,99.3,0.7,"Dietlikon ZH",
55,2.6,2.6,97.4,"Eglisau ZH",
56,33.1,33.1,66.9,"Embrach ZH",
57,20.3,20.3,79.7,"Freienstein-Teufen ZH",
58,52.1,52.1,47.9,"Glattfelden ZH",
59,82,82,18,"Hochfelden ZH",
60,93.7,93.7,6.3,"Höri ZH",
61,40.2,40.2,59.8,"Hüntwangen ZH",
62,32.2,32.2,67.8,"Kloten ZH",
63,48.6,48.6,51.4,"Lufingen ZH",
64,31.4,31.4,68.6,"Nürensdorf ZH",
65,37.1,37.1,62.9,"Oberembrach ZH",
66,59.7,59.7,40.3,"Opfikon ZH",
67,16.9,16.9,83.1,"Rafz ZH",
68,60.1,60.1,39.9,"Rorbas ZH",
69,52.3,52.3,47.7,"Wallisellen ZH",
70,74,74,26,"Wasterkingen ZH",
71,52.6,52.6,47.4,"Wil ZH ZH",
72,85.6,85.6,14.4,"Winkel ZH",
81,35,35,65,"Bachs ZH",
82,44.1,44.1,55.9,"Boppelsen ZH",
83,66,66,34,"Buchs ZH",
84,17,17,83,"Dällikon ZH",
85,34.4,34.4,65.6,"Dänikon ZH",
86,41,41,59,"Dielsdorf ZH",
87,92.6,92.6,7.4,"Hüttikon ZH",
88,47.7,47.7,52.3,"Neerach ZH",
89,58.1,58.1,41.9,"Niederglatt ZH",
90,43.2,43.2,56.8,"Niederhasli ZH",
91,55.8,55.8,44.2,"Niederweningen ZH",
92,77.6,77.6,22.4,"Oberglatt ZH",
93,74.8,74.8,25.2,"Oberweningen ZH",
94,66,66,34,"Otelfingen ZH",
95,88.6,88.6,11.4,"Regensberg ZH",
96,48.5,48.5,51.5,"Regensdorf ZH",
97,38.6,38.6,61.4,"Rümlang ZH",
98,27.9,27.9,72.1,"Schleinikon ZH",
99,1.6,1.6,98.4,"Schöfflisdorf ZH",
100,13.8,13.8,86.2,"Stadel ZH",
101,56.1,56.1,43.9,"Steinmaur ZH",
102,40.2,40.2,59.8,"Weiach ZH",
111,27.9,27.9,72.1,"Bäretswil ZH",
112,54.9,54.9,45.1,"Bubikon ZH",
113,38.9,38.9,61.1,"Dürnten ZH",
114,6.6,6.6,93.4,"Fischenthal ZH",
115,72.1,72.1,27.9,"Gossau ZH",
116,47.2,47.2,52.8,"Grüningen ZH",
117,26,26,74,"Hinwil ZH",
118,50,50,50,"Rüti ZH",
119,16.3,16.3,83.7,"Seegräben ZH",
120,10.9,10.9,89.1,"Wald ZH",
121,32.5,32.5,67.5,"Wetzikon ZH",
131,65.2,65.2,34.8,"Adliswil ZH",
135,56.9,56.9,43.1,"Kilchberg ZH",
136,35.8,35.8,64.2,"Langnau am Albis ZH",
137,53.5,53.5,46.5,"Oberrieden ZH",
138,63.2,63.2,36.8,"Richterswil ZH",
139,99.8,99.8,0.2,"Rüschlikon ZH",
141,80.8,80.8,19.2,"Thalwil ZH",
151,6,6,94,"Erlenbach ZH",
152,62.2,62.2,37.8,"Herrliberg ZH",
153,56.7,56.7,43.3,"Hombrechtikon ZH",
154,33.5,33.5,66.5,"Küsnacht ZH",
155,30,30,70,"Männedorf ZH",
156,53,53,47,"Meilen ZH",
157,67.8,67.8,32.2,"Oetwil am See ZH",
158,65,65,35,"Stäfa ZH",
159,29.2,29.2,70.8,"Uetikon am See ZH",
160,66,66,34,"Zumikon ZH",
161,16.2,16.2,83.8,"Zollikon ZH",
172,76.3,76.3,23.7,"Fehraltorf ZH",
173,98.7,98.7,1.3,"Hittnau ZH",
176,53.1,53.1,46.9,"Lindau ZH",
177,15.8,15.8,84.2,"Pfäffikon ZH",
178,55.3,55.3,44.7,"Russikon ZH",
180,52.7,52.7,47.3,"Weisslingen ZH",
181,27.7,27.7,72.3,"Wila ZH",
182,18.1,18.1,81.9,"Wildberg ZH",
191,77.7,77.7,22.3,"Dübendorf ZH",
192,74.1,74.1,25.9,"Egg ZH",
193,49.8,49.8,50.2,"Fällanden ZH",
194,74.2,74.2,25.8,"Greifensee ZH",
195,60.5,60.5,39.5,"Maur ZH",
196,53.5,53.5,46.5,"Mönchaltorf ZH",
197,1.3,1.3,98.7,"Schwerzenbach ZH",
198,92.2,92.2,7.8,"Uster ZH",
199,41.9,41.9,58.1,"Volketswil ZH",
200,74.3,74.3,25.7,"Wangen-Brüttisellen ZH",
211,35.5,35.5,64.5,"Altikon ZH",
213,28.4,28.4,71.6,"Brütten ZH",
214,55,55,45,"Dägerlen ZH",
215,64.6,64.6,35.4,"Dättlikon ZH",
216,55.6,55.6,44.4,"Dinhard ZH",
218,65.2,65.2,34.8,"Ellikon an der Thur ZH",
219,54.7,54.7,45.3,"Elsau ZH",
