"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
111,83.9,83.9,16.1,"Bäretswil ZH","Ja zur Initiative für eine 13. AHV-Rente in Bäretswil. Die Gemeinde hat das Volksbegehren mit 83,9 Prozent der Stimmen angenommen. Bäretswil hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
112,35.6,35.6,64.4,"Bubikon ZH","Bubikon hat die Initiative für eine 13. AHV-Rente mit 64,4 Prozent abgelehnt. Bubikon hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
113,91.4,91.4,8.6,"Dürnten ZH","91,4 Prozent der Abstimmenden in der Gemeinde Dürnten haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Dürnten hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
114,78.1,78.1,21.9,"Fischenthal ZH","Ja zur Initiative für eine 13. AHV-Rente in Fischenthal: Mit 78,1 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Fischenthal hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
115,16.2,16.2,83.8,"Gossau ZH","Nein zur Initiative für eine 13. AHV-Rente in Gossau ZH: Mit 9'200 Nein- zu 1'784 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 83,8 Prozent. Gossau ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
116,16.2,16.2,83.8,"Grüningen ZH","Nein zur Initiative für eine 13. AHV-Rente in Grüningen: Mit 9'411 Nein- zu 1'824 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 83,8 Prozent. Grüningen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
117,79.5,79.5,20.5,"Hinwil ZH","Die Stimmbevölkerung von Hinwil hat die Initiative für eine 13. AHV-Rente mit 79,5 Prozent angenommen. Hinwil hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
118,85.4,85.4,14.6,"Rüti ZH","In Rüti ZH hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 85,4 Prozent angenommen. Rüti ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
119,54.7,54.7,45.3,"Seegräben ZH","54,7 Prozent der Stimmbürgerinnen und Stimmbürger von Seegräben haben die Initiative für eine 13. AHV-Rente angenommen. Seegräben hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
120,87.5,87.5,12.5,"Wald ZH","87,5 Prozent der Abstimmenden in der Gemeinde Wald ZH haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Wald ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
121,27.4,27.4,72.6,"Wetzikon ZH","In Wetzikon ZH hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 72,6 Prozent verworfen. Wetzikon ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
172,43.5,43.5,56.5,"Fehraltorf ZH","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Fehraltorf: Mit 3'678 Nein-Stimmen zu 2'829 Ja-Stimmen oder 56,5 Prozent hat die Gemeinde das Volksbegehren verworfen. Fehraltorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
173,12.9,12.9,87.1,"Hittnau ZH","Nein zu einer 13. AHV-Rente in Hittnau. Die Gemeinde hat die Initiative mit 87,1 Prozent abgelehnt. Hittnau hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
176,87.6,87.6,12.4,"Lindau ZH","Ja zur Initiative für eine 13. AHV-Rente in Lindau: Mit 87,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Lindau hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
177,65.6,65.6,34.4,"Pfäffikon ZH","65,6 Prozent der Abstimmenden in der Gemeinde Pfäffikon haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Pfäffikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
178,57.7,57.7,42.3,"Russikon ZH","Ja zur Initiative für eine 13. AHV-Rente in Russikon: Mit 57,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Russikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
180,16.3,16.3,83.7,"Weisslingen ZH","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Weisslingen: Mit 5'036 Nein-Stimmen zu 982 Ja-Stimmen oder 83,7 Prozent hat die Gemeinde das Volksbegehren verworfen. Weisslingen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
181,90.3,90.3,9.7,"Wila ZH","90,3 Prozent der Abstimmenden in der Gemeinde Wila haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Wila hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
182,56.2,56.2,43.8,"Wildberg ZH","Ja zur Initiative für eine 13. AHV-Rente in Wildberg: Mit 56,2 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Wildberg hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
191,93.7,93.7,6.3,"Dübendorf ZH","Ja zur Initiative für eine 13. AHV-Rente in Dübendorf: Mit 93,7 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Dübendorf hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
192,51.6,51.6,48.4,"Egg ZH","Die Stimmbevölkerung von Egg hat die Initiative für eine 13. AHV-Rente mit 51,6 Prozent angenommen. Egg hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
193,35.8,35.8,64.2,"Fällanden ZH","In Fällanden hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 64,2 Prozent verworfen. Fällanden hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
194,13.6,13.6,86.4,"Greifensee ZH","Nein zu einer 13. AHV-Rente in Greifensee. Die Gemeinde hat die Initiative mit 86,4 Prozent abgelehnt. Greifensee hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
195,75.9,75.9,24.1,"Maur ZH","Ja zur Initiative für eine 13. AHV-Rente in Maur: Mit 75,9 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Maur hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
196,24.9,24.9,75.1,"Mönchaltorf ZH","75,1 Prozent der Stimmbürgerinnen und Stimmbürger von Mönchaltorf sagen Nein zur Initiative für eine 13. AHV-Rente. Mönchaltorf hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
197,14.5,14.5,85.5,"Schwerzenbach ZH","Nein zu einer 13. AHV-Rente in Schwerzenbach. Die Gemeinde hat die Initiative mit 85,5 Prozent abgelehnt. Schwerzenbach hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
198,65.6,65.6,34.4,"Uster ZH","Ja zur Initiative für eine 13. AHV-Rente in Uster: Mit 65,6 Prozent haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren angenommen. Uster hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
199,34.2,34.2,65.8,"Volketswil ZH","Nein zu einer 13. AHV-Rente in Volketswil. Die Gemeinde hat die Initiative mit 65,8 Prozent abgelehnt. Volketswil hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
200,23,23,77,"Wangen-Brüttisellen ZH","Wangen-Brüttisellen hat die Initiative für eine 13. AHV-Rente mit 77 Prozent abgelehnt. Wangen-Brüttisellen hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
226,50.7,50.7,49.3,"Schlatt ZH","50,7 Prozent der Stimmbürgerinnen und Stimmbürger von Schlatt ZH haben die Initiative für eine 13. AHV-Rente angenommen. Schlatt ZH hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
228,47.2,47.2,52.8,"Turbenthal ZH","In Turbenthal hat die Stimmbevölkerung die Initiative für eine 13. AHV-Rente abgelehnt. Das Volksbegehren wurde mit einem Nein-Stimmen-Anteil von 52,8 Prozent verworfen. Turbenthal hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
231,27,27,73,"Zell ZH","Nein zur Initiative für eine 13. AHV-Rente in Zell ZH: Mit 6'977 Nein- zu 2'577 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 73 Prozent. Zell ZH hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
296,54,54,46,"Illnau-Effretikon ZH","54 Prozent der Abstimmenden in der Gemeinde Illnau-Effretikon haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Illnau-Effretikon hat damit gleich wie der Kanton Zürich Ja gesagt zu dieser Vorlage."
297,46.4,46.4,53.6,"Bauma ZH","53,6 Prozent der Stimmbürgerinnen und Stimmbürger von Bauma sagen Nein zur Initiative für eine 13. AHV-Rente. Bauma hat damit anders abgestimmt als der Kanton Zürich, der die Vorlage angenommen hat."
