"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
3001,14.3,14.3,85.7,"Herisau AR","Herisau hat die Initiative für eine 13. AHV-Rente mit 85,7 Prozent abgelehnt. Herisau hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Ausserrhoden."
3002,83.1,83.1,16.9,"Hundwil AR","83,1 Prozent der Stimmbürgerinnen und Stimmbürger von Hundwil haben die Initiative für eine 13. AHV-Rente angenommen. Hundwil hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3003,57.3,57.3,42.7,"Schönengrund AR","Die Stimmbevölkerung von Schönengrund hat die Initiative für eine 13. AHV-Rente mit 57,3 Prozent angenommen. Schönengrund hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3004,31.3,31.3,68.7,"Schwellbrunn AR","In Schwellbrunn hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 68,7 Prozent der abgegebenen Stimmzettel stand ein Nein. Schwellbrunn hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3005,49.5,49.5,50.5,"Stein AR","Nein zu einer 13. AHV-Rente in Stein AR. Die Gemeinde hat die Initiative mit 50,5 Prozent abgelehnt. Stein AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3006,46.7,46.7,53.3,"Urnäsch AR","In Urnäsch hat die Initiative für eine 13. AHV-Rente keine Mehrheit gefunden. Auf 53,3 Prozent der abgegebenen Stimmzettel stand ein Nein. Urnäsch hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3007,48.7,48.7,51.3,"Waldstatt AR","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Waldstatt: Mit 2'840 Nein-Stimmen zu 2'696 Ja-Stimmen oder 51,3 Prozent hat die Gemeinde das Volksbegehren verworfen. Waldstatt hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3021,20.7,20.7,79.3,"Bühler AR","Nein zur Initiative für eine 13. AHV-Rente in Bühler: Mit 8'893 Nein- zu 2'318 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 79,3 Prozent. Bühler hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3022,96.7,96.7,3.3,"Gais AR","In Gais hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 96,7 Prozent angenommen. Gais hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Ausserrhoden."
3023,35.6,35.6,64.4,"Speicher AR","Nein zur Initiative für eine 13. AHV-Rente in Speicher: Mit 9'817 Nein- zu 5'438 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 64,4 Prozent. Speicher hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3024,35.1,35.1,64.9,"Teufen AR","Nein zu einer 13. AHV-Rente in Teufen AR. Die Gemeinde hat die Initiative mit 64,9 Prozent abgelehnt. Teufen AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3025,64.7,64.7,35.3,"Trogen AR","Die Gemeinde Trogen hat die Initiative für eine 13. AHV-Rente mit 64,7 Prozent Ja-Stimmen angenommen. Trogen hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3031,91.7,91.7,8.3,"Grub AR","Ja zur Initiative für eine 13. AHV-Rente in Grub AR. Die Gemeinde hat das Volksbegehren mit 91,7 Prozent der Stimmen angenommen. Grub AR hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3032,74.1,74.1,25.9,"Heiden AR","74,1 Prozent der Stimmbürgerinnen und Stimmbürger von Heiden haben die Initiative für eine 13. AHV-Rente angenommen. Heiden hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3033,66.5,66.5,33.5,"Lutzenberg AR","In Lutzenberg hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 66,5 Prozent angenommen. Lutzenberg hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3034,70.3,70.3,29.7,"Rehetobel AR","In Rehetobel hat die Stimmbevölkerung der Initiative für eine 13. AHV-Rente zugestimmt. Sie wurde mit einem Ja-Stimmen-Anteil von 70,3 Prozent angenommen. Rehetobel hat damit anders abgestimmt als der Kanton Appenzell Ausserrhoden, der die Vorlage abgelehnt hat."
3035,22.8,22.8,77.2,"Reute AR","Nein zu einer 13. AHV-Rente in Reute AR. Die Gemeinde hat die Initiative mit 77,2 Prozent abgelehnt. Reute AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3036,39.8,39.8,60.2,"Wald AR","Keine Mehrheit für die Initiative für eine 13. AHV-Rente in Wald AR: Mit 7'422 Nein-Stimmen zu 4'912 Ja-Stimmen oder 60,2 Prozent hat die Gemeinde das Volksbegehren verworfen. Wald AR hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3037,36.6,36.6,63.4,"Walzenhausen AR","Nein zu einer 13. AHV-Rente in Walzenhausen. Die Gemeinde hat die Initiative mit 63,4 Prozent abgelehnt. Walzenhausen hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3038,48.1,48.1,51.9,"Wolfhalden AR","Nein zur Initiative für eine 13. AHV-Rente in Wolfhalden: Mit 3'838 Nein- zu 3'559 Ja-Stimmen haben die Stimmbürgerinnen und Stimmbürger das Volksbegehren abgelehnt. Das sind 51,9 Prozent. Wolfhalden hat damit gleich wie der Kanton Appenzell Ausserrhoden Nein gesagt zu dieser Vorlage."
3101,11.7,11.7,88.3,"Appenzell AI","88,3 Prozent der Stimmbürgerinnen und Stimmbürger von Appenzell sagen Nein zur Initiative für eine 13. AHV-Rente. Appenzell hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Appenzell Innerrhoden."
3102,78.2,78.2,21.8,"Gonten AI","78,2 Prozent der Abstimmenden in der Gemeinde Gonten haben Ja gesagt zur Initiative für eine 13. AHV-Rente. Gonten hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Appenzell Innerrhoden."
