"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_de","Text_de"
1630,22.9,22.9,77.1,"Glarus Nord GL","Keine Mehrheit für die Renteninitiative in Glarus Nord: Mit 8'300 Nein-Stimmen zu 2'471 Ja-Stimmen oder 77,1 Prozent hat die Gemeinde das Volksbegehren verworfen. Glarus Nord hat damit bei dieser Vorlage den höchsten Nein-Anteil im Kanton Glarus."
1631,61,61,39,"Glarus Süd GL","Die Gemeinde Glarus Süd hat die Renteninitiative mit 61 Prozent angenommen. Glarus Süd hat damit bei dieser Vorlage den höchsten Ja-Anteil im Kanton Glarus."
1632,48,48,52,"Glarus GL","Glarus hat die Renteninitiative mit 52 Prozent abgelehnt. Glarus hat damit gleich wie der Kanton Glarus Nein gesagt zu dieser Vorlage."
2901,39.3,39.3,60.7,"Gächlingen SH","60,7 Prozent der Stimmbürgerinnen und Stimmbürger von Gächlingen sagen Nein zur Renteninitiative. Gächlingen hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2903,59.2,59.2,40.8,"Löhningen SH","Ja zur Renteninitiative in Löhningen. Die Gemeinde hat das Volksbegehren mit 59,2 Prozent der Stimmen angenommen. Löhningen hat damit anders abgestimmt als der Kanton Schaffhausen, der die Vorlage abgelehnt hat."
2904,54.2,54.2,45.8,"Neunkirch SH","Die Gemeinde Neunkirch hat die Renteninitiative mit 54,2 Prozent Ja-Stimmen angenommen. Neunkirch hat damit anders abgestimmt als der Kanton Schaffhausen, der die Vorlage abgelehnt hat."
2914,46,46,54,"Büttenhardt SH","In Büttenhardt hat die Renteninitiative keine Mehrheit gefunden. Auf 54 Prozent der abgegebenen Stimmzettel stand ein Nein. Büttenhardt hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2915,18.6,18.6,81.4,"Dörflingen SH","Dörflingen hat die Renteninitiative mit 81,4 Prozent abgelehnt. Dörflingen hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2917,46,46,54,"Lohn SH","54 Prozent der Stimmbürgerinnen und Stimmbürger von Lohn SH sagen Nein zur Renteninitiative. Lohn SH hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
2919,48,48,52,"Stetten SH","Keine Mehrheit für die Renteninitiative in Stetten SH: Mit 7'154 Nein-Stimmen zu 6'609 Ja-Stimmen oder 52 Prozent hat die Gemeinde das Volksbegehren verworfen. Stetten SH hat damit gleich wie der Kanton Schaffhausen Nein gesagt zu dieser Vorlage."
