"ID","Gemeinde_color","Ja_Stimmen_In_Prozent","Nein_Stimmen_In_Prozent","Gemeinde_fr","Text_fr"
1,70.4,70.4,29.6,"Aeugst am Albis (ZH)","Les habitants d'Aeugst am Albis acceptent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 70,4 pour cent de oui. Aeugst am Albis a approuvé l'initiative, contrairement à son canton."
2,50.2,50.2,49.8,"Affoltern am Albis (ZH)","C'est oui à 50,2 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Affoltern am Albis. Affoltern am Albis a approuvé l'initiative, contrairement à son canton."
3,31.8,31.8,68.2,"Bonstetten (ZH)","C'est non à 68,2 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Bonstetten. Bonstetten a rejeté l'initiative, tout comme son canton."
4,39.2,39.2,60.8,"Hausen am Albis (ZH)","A Hausen am Albis, les habitants disent non à 60,8 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Hausen am Albis a rejeté l'initiative, tout comme son canton."
5,77,77,23,"Hedingen (ZH)","Les habitants de Hedingen approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 77 pour cent des voix. Hedingen a approuvé l'initiative, contrairement à son canton."
6,54.2,54.2,45.8,"Kappel am Albis (ZH)","C'est oui à 54,2 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite à Kappel am Albis. Kappel am Albis a approuvé l'initiative, contrairement à son canton."
7,54.9,54.9,45.1,"Knonau (ZH)","Les habitants de Knonau approuvent l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 54,9 pour cent des voix. Knonau a approuvé l'initiative, contrairement à son canton."
8,22.6,22.6,77.4,"Maschwanden (ZH)","A Maschwanden, les habitants sont défavorables à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite avec 77,4 pour cent des voix. Maschwanden a rejeté l'initiative, tout comme son canton."
9,86.2,86.2,13.8,"Mettmenstetten (ZH)","A Mettmenstetten, les habitants disent oui à 86,2 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Mettmenstetten a approuvé l'initiative, contrairement à son canton."
10,42.4,42.4,57.6,"Obfelden (ZH)","A Obfelden, les habitants disent non à 57,6 pour cent à l'initiative des Jeunes PLR pour augmenter l'âge du départ à la retraite. Obfelden a rejeté l'initiative, tout comme son canton."
